Idioma,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
pinyin,0.0,0.0,0,Outubro,10,2010
english,944.0,990.0,1934,Outubro,10,2010
portuguese,811.0,1546.0,2357,Novembro,11,2010
french,45.0,43.0,88,Novembro,11,2010
farsi,2.0,0.0,2,Novembro,11,2010
swedish,0.0,0.0,0,Novembro,11,2010
russian,56.0,85.0,141,Novembro,11,2010
german,9.0,2.0,11,Novembro,11,2010
spanish,36.0,22.0,58,Novembro,11,2010
dutch,0.0,0.0,0,Novembro,11,2010
pinyin,0.0,0.0,0,Novembro,11,2010
english,2906.0,16670.0,19576,Novembro,11,2010
portuguese,568.0,654.0,1222,Dezembro,12,2010
french,54.0,98.0,152,Dezembro,12,2010
farsi,0.0,0.0,0,Dezembro,12,2010
swedish,0.0,0.0,0,Dezembro,12,2010
russian,45.0,29.0,74,Dezembro,12,2010
german,7.0,0.0,7,Dezembro,12,2010
spanish,24.0,14.0,38,Dezembro,12,2010
dutch,2.0,0.0,2,Dezembro,12,2010
pinyin,0.0,0.0,0,Dezembro,12,2010
english,959.0,6537.0,7496,Dezembro,12,2010
portuguese,649.0,624.0,1273,Janeiro,1,2011
french,51.0,22.0,73,Janeiro,1,2011
farsi,0.0,0.0,0,Janeiro,1,2011
swedish,0.0,0.0,0,Janeiro,1,2011
russian,44.0,23.0,67,Janeiro,1,2011
german,8.0,4.0,12,Janeiro,1,2011
spanish,38.0,23.0,61,Janeiro,1,2011
dutch,4.0,0.0,4,Janeiro,1,2011
pinyin,0.0,0.0,0,Janeiro,1,2011
english,914.0,1408.0,2322,Janeiro,1,2011
portuguese,687.0,668.0,1355,Fevereiro,2,2011
french,53.0,21.0,74,Fevereiro,2,2011
farsi,1.0,0.0,1,Fevereiro,2,2011
swedish,1.0,0.0,1,Fevereiro,2,2011
russian,55.0,41.0,96,Fevereiro,2,2011
german,3.0,2.0,5,Fevereiro,2,2011
spanish,43.0,31.0,74,Fevereiro,2,2011
dutch,10.0,3.0,13,Fevereiro,2,2011
pinyin,0.0,0.0,0,Fevereiro,2,2011
english,817.0,1192.0,2009,Fevereiro,2,2011
portuguese,597.0,458.0,1055,Março,3,2011
french,55.0,37.0,92,Março,3,2011
farsi,0.0,0.0,0,Março,3,2011
swedish,5.0,0.0,5,Março,3,2011
russian,80.0,46.0,126,Março,3,2011
german,10.0,1.0,11,Março,3,2011
spanish,43.0,20.0,63,Março,3,2011
dutch,42.0,2.0,44,Março,3,2011
pinyin,0.0,0.0,0,Março,3,2011
english,1070.0,980.0,2050,Março,3,2011
portuguese,998.0,728.0,1726,Abril,4,2011
french,130.0,33.0,163,Abril,4,2011
farsi,6.0,0.0,6,Abril,4,2011
swedish,6.0,0.0,6,Abril,4,2011
russian,119.0,42.0,161,Abril,4,2011
german,12.0,1.0,13,Abril,4,2011
spanish,67.0,19.0,86,Abril,4,2011
dutch,175.0,4.0,179,Abril,4,2011
pinyin,0.0,0.0,0,Abril,4,2011
english,1694.0,1338.0,3032,Abril,4,2011
portuguese,1411.0,6213.0,7624,Maio,5,2011
french,52.0,31.0,83,Maio,5,2011
farsi,1.0,0.0,1,Maio,5,2011
swedish,1.0,0.0,1,Maio,5,2011
russian,86.0,72.0,158,Maio,5,2011
german,7.0,0.0,7,Maio,5,2011
spanish,40.0,25.0,65,Maio,5,2011
dutch,6.0,11.0,17,Maio,5,2011
pinyin,0.0,0.0,0,Maio,5,2011
english,1293.0,2157.0,3450,Maio,5,2011
portuguese,1184.0,8826.0,10010,Junho,6,2011
french,41.0,29.0,70,Junho,6,2011
farsi,2.0,0.0,2,Junho,6,2011
swedish,0.0,0.0,0,Junho,6,2011
russian,83.0,34.0,117,Junho,6,2011
german,3.0,0.0,3,Junho,6,2011
spanish,46.0,48.0,94,Junho,6,2011
dutch,7.0,3.0,10,Junho,6,2011
pinyin,0.0,0.0,0,Junho,6,2011
english,903.0,701.0,1604,Junho,6,2011
portuguese,1079.0,2798.0,3877,Julho,7,2011
french,51.0,20.0,71,Julho,7,2011
farsi,0.0,0.0,0,Julho,7,2011
swedish,1.0,0.0,1,Julho,7,2011
russian,72.0,40.0,112,Julho,7,2011
german,8.0,0.0,8,Julho,7,2011
spanish,33.0,30.0,63,Julho,7,2011
dutch,12.0,8.0,20,Julho,7,2011
pinyin,0.0,0.0,0,Julho,7,2011
english,861.0,1204.0,2065,Julho,7,2011
portuguese,847.0,1270.0,2117,Agosto,8,2011
french,59.0,32.0,91,Agosto,8,2011
farsi,0.0,0.0,0,Agosto,8,2011
swedish,0.0,0.0,0,Agosto,8,2011
russian,92.0,54.0,146,Agosto,8,2011
german,3.0,0.0,3,Agosto,8,2011
spanish,47.0,77.0,124,Agosto,8,2011
dutch,5.0,3.0,8,Agosto,8,2011
pinyin,0.0,0.0,0,Agosto,8,2011
english,783.0,598.0,1381,Agosto,8,2011
portuguese,966.0,5186.0,6152,Setembro,9,2011
french,89.0,37.0,126,Setembro,9,2011
farsi,2.0,1.0,3,Setembro,9,2011
swedish,0.0,0.0,0,Setembro,9,2011
russian,80.0,55.0,135,Setembro,9,2011
german,5.0,1.0,6,Setembro,9,2011
spanish,37.0,43.0,80,Setembro,9,2011
dutch,4.0,1.0,5,Setembro,9,2011
pinyin,0.0,0.0,0,Setembro,9,2011
english,739.0,1252.0,1991,Setembro,9,2011
portuguese,1541.0,31265.0,32806,Outubro,10,2011
french,100.0,129.0,229,Outubro,10,2011
farsi,2.0,1.0,3,Outubro,10,2011
swedish,0.0,0.0,0,Outubro,10,2011
russian,112.0,405.0,517,Outubro,10,2011
german,2.0,1.0,3,Outubro,10,2011
spanish,36.0,160.0,196,Outubro,10,2011
dutch,5.0,4.0,9,Outubro,10,2011
pinyin,0.0,0.0,0,Outubro,10,2011
english,1050.0,1102.0,2152,Outubro,10,2011
portuguese,1807.0,18366.0,20173,Novembro,11,2011
french,84.0,171.0,255,Novembro,11,2011
farsi,2.0,0.0,2,Novembro,11,2011
swedish,0.0,0.0,0,Novembro,11,2011
russian,77.0,84.0,161,Novembro,11,2011
german,5.0,1.0,6,Novembro,11,2011
spanish,36.0,37.0,73,Novembro,11,2011
dutch,3.0,1.0,4,Novembro,11,2011
pinyin,0.0,0.0,0,Novembro,11,2011
english,771.0,829.0,1600,Novembro,11,2011
portuguese,3367.0,40372.0,43739,Dezembro,12,2011
french,128.0,111.0,239,Dezembro,12,2011
farsi,2.0,0.0,2,Dezembro,12,2011
swedish,0.0,0.0,0,Dezembro,12,2011
russian,141.0,6027.0,6168,Dezembro,12,2011
german,7.0,1.0,8,Dezembro,12,2011
spanish,59.0,254.0,313,Dezembro,12,2011
dutch,5.0,4.0,9,Dezembro,12,2011
pinyin,0.0,0.0,0,Dezembro,12,2011
english,737.0,854.0,1591,Dezembro,12,2011
portuguese,1220.0,2095.0,3315,Janeiro,1,2012
french,81.0,306.0,387,Janeiro,1,2012
farsi,0.0,0.0,0,Janeiro,1,2012
swedish,0.0,0.0,0,Janeiro,1,2012
russian,123.0,264.0,387,Janeiro,1,2012
german,6.0,4.0,10,Janeiro,1,2012
spanish,41.0,27.0,68,Janeiro,1,2012
dutch,3.0,3.0,6,Janeiro,1,2012
pinyin,0.0,0.0,0,Janeiro,1,2012
english,623.0,768.0,1391,Janeiro,1,2012
portuguese,1535.0,10522.0,12057,Fevereiro,2,2012
french,81.0,30.0,111,Fevereiro,2,2012
farsi,1.0,2.0,3,Fevereiro,2,2012
swedish,0.0,0.0,0,Fevereiro,2,2012
russian,107.0,152.0,259,Fevereiro,2,2012
german,4.0,4.0,8,Fevereiro,2,2012
spanish,38.0,37.0,75,Fevereiro,2,2012
dutch,2.0,2.0,4,Fevereiro,2,2012
pinyin,0.0,0.0,0,Fevereiro,2,2012
english,647.0,556.0,1203,Fevereiro,2,2012
portuguese,1489.0,2876.0,4365,Março,3,2012
french,50.0,28.0,78,Março,3,2012
farsi,0.0,0.0,0,Março,3,2012
swedish,0.0,0.0,0,Março,3,2012
russian,104.0,89.0,193,Março,3,2012
german,6.0,3.0,9,Março,3,2012
spanish,67.0,40.0,107,Março,3,2012
dutch,2.0,2.0,4,Março,3,2012
pinyin,0.0,0.0,0,Março,3,2012
english,755.0,802.0,1557,Março,3,2012
portuguese,1252.0,3710.0,4962,Abril,4,2012
french,39.0,36.0,75,Abril,4,2012
farsi,0.0,0.0,0,Abril,4,2012
swedish,0.0,0.0,0,Abril,4,2012
russian,134.0,64.0,198,Abril,4,2012
german,1.0,2.0,3,Abril,4,2012
spanish,39.0,42.0,81,Abril,4,2012
dutch,6.0,2.0,8,Abril,4,2012
pinyin,0.0,0.0,0,Abril,4,2012
english,664.0,656.0,1320,Abril,4,2012
portuguese,1309.0,2687.0,3996,Maio,5,2012
french,64.0,67.0,131,Maio,5,2012
farsi,1.0,0.0,1,Maio,5,2012
swedish,0.0,0.0,0,Maio,5,2012
russian,133.0,88.0,221,Maio,5,2012
german,3.0,2.0,5,Maio,5,2012
spanish,41.0,30.0,71,Maio,5,2012
dutch,10.0,6.0,16,Maio,5,2012
pinyin,0.0,0.0,0,Maio,5,2012
english,853.0,910.0,1763,Maio,5,2012
portuguese,1111.0,1416.0,2527,Junho,6,2012
french,52.0,58.0,110,Junho,6,2012
farsi,0.0,0.0,0,Junho,6,2012
swedish,2.0,1.0,3,Junho,6,2012
russian,127.0,110.0,237,Junho,6,2012
german,4.0,1.0,5,Junho,6,2012
spanish,31.0,33.0,64,Junho,6,2012
dutch,4.0,0.0,4,Junho,6,2012
pinyin,0.0,0.0,0,Junho,6,2012
english,580.0,526.0,1106,Junho,6,2012
portuguese,2082.0,7609.0,9691,Julho,7,2012
french,101.0,265.0,366,Julho,7,2012
farsi,0.0,0.0,0,Julho,7,2012
swedish,1.0,5.0,6,Julho,7,2012
russian,279.0,807.0,1086,Julho,7,2012
german,8.0,17.0,25,Julho,7,2012
spanish,51.0,83.0,134,Julho,7,2012
dutch,1.0,0.0,1,Julho,7,2012
pinyin,0.0,0.0,0,Julho,7,2012
english,706.0,964.0,1670,Julho,7,2012
portuguese,2142.0,6304.0,8446,Agosto,8,2012
french,68.0,86.0,154,Agosto,8,2012
farsi,0.0,0.0,0,Agosto,8,2012
swedish,1.0,0.0,1,Agosto,8,2012
russian,167.0,193.0,360,Agosto,8,2012
german,3.0,0.0,3,Agosto,8,2012
spanish,42.0,32.0,74,Agosto,8,2012
dutch,5.0,1.0,6,Agosto,8,2012
pinyin,0.0,0.0,0,Agosto,8,2012
english,748.0,2028.0,2776,Agosto,8,2012
portuguese,1801.0,3595.0,5396,Setembro,9,2012
french,69.0,99.0,168,Setembro,9,2012
farsi,0.0,0.0,0,Setembro,9,2012
swedish,0.0,0.0,0,Setembro,9,2012
russian,157.0,981.0,1138,Setembro,9,2012
german,3.0,0.0,3,Setembro,9,2012
spanish,45.0,30.0,75,Setembro,9,2012
dutch,1.0,3.0,4,Setembro,9,2012
pinyin,0.0,0.0,0,Setembro,9,2012
english,696.0,1382.0,2078,Setembro,9,2012
portuguese,2936.0,7310.0,10246,Outubro,10,2012
french,150.0,254.0,404,Outubro,10,2012
farsi,0.0,0.0,0,Outubro,10,2012
swedish,0.0,0.0,0,Outubro,10,2012
russian,366.0,613.0,979,Outubro,10,2012
german,7.0,1.0,8,Outubro,10,2012
spanish,68.0,56.0,124,Outubro,10,2012
dutch,52.0,5.0,57,Outubro,10,2012
pinyin,0.0,0.0,0,Outubro,10,2012
english,965.0,1013.0,1978,Outubro,10,2012
portuguese,2566.0,8257.0,10823,Novembro,11,2012
french,103.0,137.0,240,Novembro,11,2012
farsi,0.0,0.0,0,Novembro,11,2012
swedish,0.0,0.0,0,Novembro,11,2012
russian,169.0,70.0,239,Novembro,11,2012
german,9.0,27.0,36,Novembro,11,2012
spanish,52.0,123.0,175,Novembro,11,2012
dutch,0.0,0.0,0,Novembro,11,2012
pinyin,0.0,0.0,0,Novembro,11,2012
english,851.0,1304.0,2155,Novembro,11,2012
portuguese,2145.0,4292.0,6437,Dezembro,12,2012
french,60.0,133.0,193,Dezembro,12,2012
farsi,0.0,0.0,0,Dezembro,12,2012
swedish,0.0,1.0,1,Dezembro,12,2012
russian,148.0,150.0,298,Dezembro,12,2012
german,5.0,5.0,10,Dezembro,12,2012
spanish,70.0,110.0,180,Dezembro,12,2012
dutch,2.0,1.0,3,Dezembro,12,2012
pinyin,0.0,0.0,0,Dezembro,12,2012
english,667.0,1099.0,1766,Dezembro,12,2012
portuguese,3261.0,13411.0,16672,Janeiro,1,2013
french,130.0,223.0,353,Janeiro,1,2013
farsi,0.0,0.0,0,Janeiro,1,2013
swedish,1.0,0.0,1,Janeiro,1,2013
russian,226.0,310.0,536,Janeiro,1,2013
german,9.0,9.0,18,Janeiro,1,2013
spanish,48.0,64.0,112,Janeiro,1,2013
dutch,6.0,7.0,13,Janeiro,1,2013
pinyin,0.0,0.0,0,Janeiro,1,2013
english,686.0,954.0,1640,Janeiro,1,2013
portuguese,2156.0,3717.0,5873,Fevereiro,2,2013
french,74.0,83.0,157,Fevereiro,2,2013
farsi,0.0,1.0,1,Fevereiro,2,2013
swedish,0.0,0.0,0,Fevereiro,2,2013
russian,154.0,143.0,297,Fevereiro,2,2013
german,13.0,5.0,18,Fevereiro,2,2013
spanish,74.0,58.0,132,Fevereiro,2,2013
dutch,11.0,0.0,11,Fevereiro,2,2013
pinyin,0.0,0.0,0,Fevereiro,2,2013
english,676.0,916.0,1592,Fevereiro,2,2013
portuguese,2906.0,9216.0,12122,Março,3,2013
french,56.0,103.0,159,Março,3,2013
farsi,0.0,0.0,0,Março,3,2013
swedish,0.0,0.0,0,Março,3,2013
russian,158.0,202.0,360,Março,3,2013
german,8.0,3.0,11,Março,3,2013
spanish,70.0,253.0,323,Março,3,2013
dutch,3.0,1.0,4,Março,3,2013
pinyin,0.0,0.0,0,Março,3,2013
english,614.0,1069.0,1683,Março,3,2013
portuguese,3149.0,5882.0,9031,Abril,4,2013
french,71.0,120.0,191,Abril,4,2013
farsi,0.0,0.0,0,Abril,4,2013
swedish,1.0,3.0,4,Abril,4,2013
russian,154.0,148.0,302,Abril,4,2013
german,6.0,0.0,6,Abril,4,2013
spanish,47.0,31.0,78,Abril,4,2013
dutch,0.0,4.0,4,Abril,4,2013
pinyin,0.0,0.0,0,Abril,4,2013
english,663.0,1016.0,1679,Abril,4,2013
portuguese,2555.0,3655.0,6210,Maio,5,2013
french,108.0,84.0,192,Maio,5,2013
farsi,0.0,0.0,0,Maio,5,2013
swedish,1.0,0.0,1,Maio,5,2013
russian,207.0,147.0,354,Maio,5,2013
german,5.0,1.0,6,Maio,5,2013
spanish,76.0,16.0,92,Maio,5,2013
dutch,2.0,3.0,5,Maio,5,2013
pinyin,0.0,0.0,0,Maio,5,2013
english,962.0,629.0,1591,Maio,5,2013
portuguese,2379.0,6287.0,8666,Junho,6,2013
french,94.0,75.0,169,Junho,6,2013
farsi,0.0,0.0,0,Junho,6,2013
swedish,0.0,0.0,0,Junho,6,2013
russian,127.0,74.0,201,Junho,6,2013
german,2.0,0.0,2,Junho,6,2013
spanish,55.0,35.0,90,Junho,6,2013
dutch,3.0,0.0,3,Junho,6,2013
pinyin,0.0,0.0,0,Junho,6,2013
english,916.0,531.0,1447,Junho,6,2013
portuguese,2103.0,6752.0,8855,Julho,7,2013
french,51.0,30.0,81,Julho,7,2013
farsi,0.0,0.0,0,Julho,7,2013
swedish,0.0,0.0,0,Julho,7,2013
russian,99.0,171.0,270,Julho,7,2013
german,5.0,3.0,8,Julho,7,2013
spanish,69.0,48.0,117,Julho,7,2013
dutch,3.0,1.0,4,Julho,7,2013
pinyin,0.0,0.0,0,Julho,7,2013
english,733.0,451.0,1184,Julho,7,2013
portuguese,1906.0,3999.0,5905,Agosto,8,2013
french,60.0,44.0,104,Agosto,8,2013
farsi,0.0,0.0,0,Agosto,8,2013
swedish,0.0,0.0,0,Agosto,8,2013
russian,74.0,64.0,138,Agosto,8,2013
german,4.0,2.0,6,Agosto,8,2013
spanish,91.0,81.0,172,Agosto,8,2013
dutch,2.0,1.0,3,Agosto,8,2013
pinyin,0.0,0.0,0,Agosto,8,2013
english,698.0,915.0,1613,Agosto,8,2013
portuguese,1616.0,9614.0,11230,Setembro,9,2013
french,41.0,79.0,120,Setembro,9,2013
farsi,1.0,0.0,1,Setembro,9,2013
swedish,3.0,10.0,13,Setembro,9,2013
russian,76.0,52.0,128,Setembro,9,2013
german,2.0,11.0,13,Setembro,9,2013
spanish,41.0,110.0,151,Setembro,9,2013
dutch,2.0,0.0,2,Setembro,9,2013
pinyin,0.0,0.0,0,Setembro,9,2013
english,672.0,651.0,1323,Setembro,9,2013
portuguese,1959.0,24095.0,26054,Outubro,10,2013
french,49.0,39.0,88,Outubro,10,2013
farsi,1.0,0.0,1,Outubro,10,2013
swedish,1.0,7.0,8,Outubro,10,2013
russian,81.0,38.0,119,Outubro,10,2013
german,3.0,3.0,6,Outubro,10,2013
spanish,30.0,34.0,64,Outubro,10,2013
dutch,4.0,4.0,8,Outubro,10,2013
pinyin,0.0,0.0,0,Outubro,10,2013
english,726.0,542.0,1268,Outubro,10,2013
portuguese,2042.0,10702.0,12744,Novembro,11,2013
french,63.0,62.0,125,Novembro,11,2013
farsi,0.0,0.0,0,Novembro,11,2013
swedish,0.0,0.0,0,Novembro,11,2013
russian,100.0,181.0,281,Novembro,11,2013
german,5.0,2.0,7,Novembro,11,2013
spanish,61.0,39.0,100,Novembro,11,2013
dutch,4.0,4.0,8,Novembro,11,2013
pinyin,0.0,0.0,0,Novembro,11,2013
english,819.0,595.0,1414,Novembro,11,2013
portuguese,1944.0,11111.0,13055,Dezembro,12,2013
french,29.0,20.0,49,Dezembro,12,2013
farsi,0.0,0.0,0,Dezembro,12,2013
swedish,0.0,0.0,0,Dezembro,12,2013
russian,64.0,33.0,97,Dezembro,12,2013
german,4.0,1.0,5,Dezembro,12,2013
spanish,42.0,26.0,68,Dezembro,12,2013
dutch,4.0,1.0,5,Dezembro,12,2013
pinyin,0.0,0.0,0,Dezembro,12,2013
english,656.0,497.0,1153,Dezembro,12,2013
portuguese,2056.0,22427.0,24483,Janeiro,1,2014
french,51.0,84.0,135,Janeiro,1,2014
farsi,0.0,0.0,0,Janeiro,1,2014
swedish,0.0,0.0,0,Janeiro,1,2014
russian,85.0,43.0,128,Janeiro,1,2014
german,2.0,0.0,2,Janeiro,1,2014
spanish,86.0,62.0,148,Janeiro,1,2014
dutch,8.0,5.0,13,Janeiro,1,2014
pinyin,0.0,0.0,0,Janeiro,1,2014
english,600.0,600.0,1200,Janeiro,1,2014
portuguese,2005.0,34092.0,36097,Fevereiro,2,2014
french,35.0,28.0,63,Fevereiro,2,2014
farsi,0.0,0.0,0,Fevereiro,2,2014
swedish,0.0,0.0,0,Fevereiro,2,2014
russian,82.0,39.0,121,Fevereiro,2,2014
german,2.0,0.0,2,Fevereiro,2,2014
spanish,49.0,40.0,89,Fevereiro,2,2014
dutch,8.0,1.0,9,Fevereiro,2,2014
pinyin,0.0,0.0,0,Fevereiro,2,2014
english,675.0,12056.0,12731,Fevereiro,2,2014
portuguese,3029.0,6285.0,9314,Março,3,2014
french,58.0,29.0,87,Março,3,2014
farsi,0.0,0.0,0,Março,3,2014
swedish,0.0,0.0,0,Março,3,2014
russian,135.0,74.0,209,Março,3,2014
german,16.0,6.0,22,Março,3,2014
spanish,121.0,288.0,409,Março,3,2014
dutch,4.0,3.0,7,Março,3,2014
pinyin,0.0,0.0,0,Março,3,2014
english,958.0,627.0,1585,Março,3,2014
portuguese,2448.0,4803.0,7251,Abril,4,2014
french,43.0,22.0,65,Abril,4,2014
farsi,0.0,0.0,0,Abril,4,2014
swedish,0.0,0.0,0,Abril,4,2014
russian,109.0,64.0,173,Abril,4,2014
german,4.0,2.0,6,Abril,4,2014
spanish,100.0,49.0,149,Abril,4,2014
dutch,3.0,1.0,4,Abril,4,2014
pinyin,0.0,0.0,0,Abril,4,2014
english,595.0,475.0,1070,Abril,4,2014
portuguese,1888.0,2438.0,4326,Maio,5,2014
french,50.0,17.0,67,Maio,5,2014
farsi,1.0,0.0,1,Maio,5,2014
swedish,0.0,0.0,0,Maio,5,2014
russian,102.0,73.0,175,Maio,5,2014
german,2.0,0.0,2,Maio,5,2014
spanish,89.0,64.0,153,Maio,5,2014
dutch,2.0,2.0,4,Maio,5,2014
pinyin,0.0,0.0,0,Maio,5,2014
english,782.0,464.0,1246,Maio,5,2014
portuguese,2462.0,8579.0,11041,Junho,6,2014
french,54.0,22.0,76,Junho,6,2014
farsi,0.0,0.0,0,Junho,6,2014
swedish,0.0,0.0,0,Junho,6,2014
russian,97.0,194.0,291,Junho,6,2014
german,4.0,1.0,5,Junho,6,2014
spanish,79.0,63.0,142,Junho,6,2014
dutch,1.0,0.0,1,Junho,6,2014
pinyin,0.0,0.0,0,Junho,6,2014
english,650.0,367.0,1017,Junho,6,2014
portuguese,2412.0,1816.0,4228,Julho,7,2014
french,64.0,19.0,83,Julho,7,2014
farsi,2.0,0.0,2,Julho,7,2014
swedish,0.0,0.0,0,Julho,7,2014
russian,185.0,53.0,238,Julho,7,2014
german,3.0,0.0,3,Julho,7,2014
spanish,155.0,39.0,194,Julho,7,2014
dutch,4.0,0.0,4,Julho,7,2014
pinyin,0.0,0.0,0,Julho,7,2014
english,652.0,387.0,1039,Julho,7,2014
portuguese,2024.0,1943.0,3967,Agosto,8,2014
french,42.0,18.0,60,Agosto,8,2014
farsi,0.0,0.0,0,Agosto,8,2014
swedish,0.0,0.0,0,Agosto,8,2014
russian,81.0,65.0,146,Agosto,8,2014
german,3.0,1.0,4,Agosto,8,2014
spanish,45.0,22.0,67,Agosto,8,2014
dutch,2.0,0.0,2,Agosto,8,2014
pinyin,0.0,0.0,0,Agosto,8,2014
english,689.0,375.0,1064,Agosto,8,2014
portuguese,2586.0,5832.0,8418,Setembro,9,2014
french,30.0,19.0,49,Setembro,9,2014
farsi,0.0,0.0,0,Setembro,9,2014
swedish,0.0,0.0,0,Setembro,9,2014
russian,59.0,51.0,110,Setembro,9,2014
german,2.0,1.0,3,Setembro,9,2014
spanish,36.0,24.0,60,Setembro,9,2014
dutch,1.0,2.0,3,Setembro,9,2014
pinyin,0.0,0.0,0,Setembro,9,2014
english,624.0,343.0,967,Setembro,9,2014
portuguese,12953.0,8398.0,21351,Outubro,10,2014
french,50.0,48.0,98,Outubro,10,2014
farsi,1.0,0.0,1,Outubro,10,2014
swedish,0.0,0.0,0,Outubro,10,2014
russian,107.0,49.0,156,Outubro,10,2014
german,3.0,0.0,3,Outubro,10,2014
spanish,75.0,33.0,108,Outubro,10,2014
dutch,0.0,3.0,3,Outubro,10,2014
pinyin,0.0,0.0,0,Outubro,10,2014
english,763.0,465.0,1228,Outubro,10,2014
portuguese,2728.0,4790.0,7518,Novembro,11,2014
french,55.0,32.0,87,Novembro,11,2014
farsi,0.0,0.0,0,Novembro,11,2014
swedish,0.0,0.0,0,Novembro,11,2014
russian,105.0,543.0,648,Novembro,11,2014
german,1.0,0.0,1,Novembro,11,2014
spanish,55.0,93.0,148,Novembro,11,2014
dutch,1.0,2.0,3,Novembro,11,2014
pinyin,0.0,0.0,0,Novembro,11,2014
english,639.0,363.0,1002,Novembro,11,2014
portuguese,2276.0,5707.0,7983,Dezembro,12,2014
french,40.0,35.0,75,Dezembro,12,2014
farsi,0.0,0.0,0,Dezembro,12,2014
swedish,0.0,0.0,0,Dezembro,12,2014
russian,71.0,66.0,137,Dezembro,12,2014
german,2.0,0.0,2,Dezembro,12,2014
spanish,26.0,55.0,81,Dezembro,12,2014
dutch,0.0,0.0,0,Dezembro,12,2014
pinyin,0.0,0.0,0,Dezembro,12,2014
english,753.0,429.0,1182,Dezembro,12,2014
portuguese,2380.0,4913.0,7293,Janeiro,1,2015
french,68.0,60.0,128,Janeiro,1,2015
farsi,1.0,0.0,1,Janeiro,1,2015
swedish,0.0,0.0,0,Janeiro,1,2015
russian,63.0,64.0,127,Janeiro,1,2015
german,0.0,0.0,0,Janeiro,1,2015
spanish,30.0,42.0,72,Janeiro,1,2015
dutch,0.0,2.0,2,Janeiro,1,2015
pinyin,0.0,0.0,0,Janeiro,1,2015
english,885.0,520.0,1405,Janeiro,1,2015
portuguese,2160.0,14890.0,17050,Fevereiro,2,2015
french,36.0,61.0,97,Fevereiro,2,2015
farsi,0.0,0.0,0,Fevereiro,2,2015
swedish,1.0,0.0,1,Fevereiro,2,2015
russian,40.0,91.0,131,Fevereiro,2,2015
german,3.0,0.0,3,Fevereiro,2,2015
spanish,19.0,33.0,52,Fevereiro,2,2015
dutch,1.0,0.0,1,Fevereiro,2,2015
pinyin,0.0,0.0,0,Fevereiro,2,2015
english,555.0,574.0,1129,Fevereiro,2,2015
portuguese,2254.0,6107.0,8361,Março,3,2015
french,43.0,42.0,85,Março,3,2015
farsi,0.0,0.0,0,Março,3,2015
swedish,0.0,0.0,0,Março,3,2015
russian,48.0,58.0,106,Março,3,2015
german,2.0,0.0,2,Março,3,2015
spanish,29.0,16.0,45,Março,3,2015
dutch,0.0,0.0,0,Março,3,2015
pinyin,0.0,0.0,0,Março,3,2015
english,537.0,404.0,941,Março,3,2015
portuguese,3028.0,19440.0,22468,Abril,4,2015
french,48.0,10.0,58,Abril,4,2015
farsi,0.0,0.0,0,Abril,4,2015
swedish,0.0,0.0,0,Abril,4,2015
russian,73.0,350.0,423,Abril,4,2015
german,0.0,0.0,0,Abril,4,2015
spanish,29.0,87.0,116,Abril,4,2015
dutch,2.0,1.0,3,Abril,4,2015
pinyin,0.0,0.0,0,Abril,4,2015
english,623.0,477.0,1100,Abril,4,2015
portuguese,2273.0,4904.0,7177,Maio,5,2015
french,34.0,21.0,55,Maio,5,2015
farsi,0.0,0.0,0,Maio,5,2015
swedish,0.0,0.0,0,Maio,5,2015
russian,60.0,66.0,126,Maio,5,2015
german,1.0,1.0,2,Maio,5,2015
spanish,34.0,27.0,61,Maio,5,2015
dutch,0.0,0.0,0,Maio,5,2015
pinyin,0.0,0.0,0,Maio,5,2015
english,768.0,599.0,1367,Maio,5,2015
portuguese,2102.0,7066.0,9168,Junho,6,2015
french,47.0,67.0,114,Junho,6,2015
farsi,0.0,0.0,0,Junho,6,2015
swedish,0.0,0.0,0,Junho,6,2015
russian,66.0,58.0,124,Junho,6,2015
german,3.0,1.0,4,Junho,6,2015
spanish,43.0,25.0,68,Junho,6,2015
dutch,0.0,0.0,0,Junho,6,2015
pinyin,0.0,0.0,0,Junho,6,2015
english,652.0,654.0,1306,Junho,6,2015
portuguese,2560.0,21579.0,24139,Julho,7,2015
french,31.0,65.0,96,Julho,7,2015
farsi,0.0,0.0,0,Julho,7,2015
swedish,1.0,0.0,1,Julho,7,2015
russian,98.0,108.0,206,Julho,7,2015
german,6.0,2.0,8,Julho,7,2015
spanish,42.0,31.0,73,Julho,7,2015
dutch,1.0,0.0,1,Julho,7,2015
pinyin,0.0,0.0,0,Julho,7,2015
english,740.0,662.0,1402,Julho,7,2015
portuguese,2668.0,14163.0,16831,Agosto,8,2015
french,51.0,69.0,120,Agosto,8,2015
farsi,0.0,0.0,0,Agosto,8,2015
swedish,0.0,0.0,0,Agosto,8,2015
russian,66.0,51.0,117,Agosto,8,2015
german,2.0,2.0,4,Agosto,8,2015
spanish,52.0,22.0,74,Agosto,8,2015
dutch,3.0,1.0,4,Agosto,8,2015
pinyin,0.0,0.0,0,Agosto,8,2015
english,587.0,687.0,1274,Agosto,8,2015
portuguese,1761.0,2158.0,3919,Setembro,9,2015
french,57.0,65.0,122,Setembro,9,2015
farsi,0.0,0.0,0,Setembro,9,2015
swedish,0.0,0.0,0,Setembro,9,2015
russian,79.0,59.0,138,Setembro,9,2015
