Domínio,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
youtube.com,82.0,55.0,137,Julho,7,2010
zoofiliadog.blogspot.com,37.0,117.0,154,Julho,7,2010
4shared.com,39.0,36.0,75,Julho,7,2010
orkut.com,899.0,2600.0,3499,Julho,7,2010
uol.com.br,30.0,8.0,38,Julho,7,2010
livestream.com,28.0,15.0,43,Julho,7,2010
twitter.com,28.0,20.0,48,Julho,7,2010
orkut.com.br,3608.0,14421.0,18029,Julho,7,2010
youtube.com,83.0,35.0,118,Agosto,8,2010
repon.info,52.0,0.0,52,Agosto,8,2010
artn-models.info,72.0,23310.0,23382,Agosto,8,2010
fw.nu,47.0,0.0,47,Agosto,8,2010
4shared.com,43.0,8.0,51,Agosto,8,2010
orkut.com,1298.0,3640.0,4938,Agosto,8,2010
uol.com.br,50.0,17.0,67,Agosto,8,2010
orkut.com.br,3166.0,16240.0,19406,Agosto,8,2010
otelix.biz,45.0,0.0,45,Agosto,8,2010
ce.ro,60.0,0.0,60,Agosto,8,2010
archive.org,27.0,2.0,29,Setembro,9,2010
formspring.me,29.0,36.0,65,Setembro,9,2010
facebook.com,39.0,95.0,134,Setembro,9,2010
youtube.com,84.0,41.0,125,Setembro,9,2010
4shared.com,32.0,7.0,39,Setembro,9,2010
orkut.com,996.0,3725.0,4721,Setembro,9,2010
uol.com.br,35.0,31.0,66,Setembro,9,2010
twitter.com,25.0,9.0,34,Setembro,9,2010
orkut.com.br,2562.0,15921.0,18483,Setembro,9,2010
imgsrc.ru,30.0,11.0,41,Setembro,9,2010
formspring.me,49.0,67.0,116,Outubro,10,2010
youtube.com,108.0,38.0,146,Outubro,10,2010
4shared.com,63.0,184.0,247,Outubro,10,2010
orkut.com,419.0,1206.0,1625,Outubro,10,2010
uol.com.br,38.0,22.0,60,Outubro,10,2010
livestream.com,49.0,45.0,94,Outubro,10,2010
twitter.com,56.0,21.0,77,Outubro,10,2010
orkut.com.br,2857.0,15153.0,18010,Outubro,10,2010
imgsrc.ru,67.0,29.0,96,Outubro,10,2010
facebook.com,93.0,22.0,115,Novembro,11,2010
youtube.com,137.0,286.0,423,Novembro,11,2010
twitpic.com,71.0,785.0,856,Novembro,11,2010
orkut.com,157.0,533.0,690,Novembro,11,2010
bp.blogspot.com,77.0,166.0,243,Novembro,11,2010
uol.com.br,50.0,11.0,61,Novembro,11,2010
twitter.com,1914.0,14623.0,16537,Novembro,11,2010
orkut.com.br,2940.0,15868.0,18808,Novembro,11,2010
imgsrc.ru,60.0,12.0,72,Novembro,11,2010
formspring.me,37.0,35.0,72,Dezembro,12,2010
facebook.com,21.0,7.0,28,Dezembro,12,2010
youtube.com,95.0,54.0,149,Dezembro,12,2010
orkut.com,31.0,441.0,472,Dezembro,12,2010
uol.com.br,25.0,9.0,34,Dezembro,12,2010
livestream.com,27.0,9.0,36,Dezembro,12,2010
twitter.com,245.0,5967.0,6212,Dezembro,12,2010
orkut.com.br,1716.0,10614.0,12330,Dezembro,12,2010
imgsrc.ru,28.0,3.0,31,Dezembro,12,2010
formspring.me,37.0,23.0,60,Janeiro,1,2011
extabit.com,26.0,1.0,27,Janeiro,1,2011
facebook.com,32.0,6.0,38,Janeiro,1,2011
youtube.com,89.0,35.0,124,Janeiro,1,2011
orkut.com,13628.0,323.0,13951,Janeiro,1,2011
uol.com.br,38.0,75.0,113,Janeiro,1,2011
livestream.com,32.0,8.0,40,Janeiro,1,2011
twitter.com,155.0,755.0,910,Janeiro,1,2011
orkut.com.br,2060.0,8961.0,11021,Janeiro,1,2011
imagefap.com,46.0,0.0,46,Janeiro,1,2011
formspring.me,56.0,267.0,323,Fevereiro,2,2011
facebook.com,32.0,9.0,41,Fevereiro,2,2011
youtube.com,115.0,37.0,152,Fevereiro,2,2011
yahoo.com,22.0,15.0,37,Fevereiro,2,2011
uol.com.br,50.0,25.0,75,Fevereiro,2,2011
orkut.com,27.0,327.0,354,Fevereiro,2,2011
livestream.com,24.0,16.0,40,Fevereiro,2,2011
twitter.com,143.0,234.0,377,Fevereiro,2,2011
orkut.com.br,2275.0,11806.0,14081,Fevereiro,2,2011
imgsrc.ru,52.0,5.0,57,Fevereiro,2,2011
formspring.me,33.0,19.0,52,Março,3,2011
facebook.com,53.0,22.0,75,Março,3,2011
youtube.com,101.0,104.0,205,Março,3,2011
yahoo.com,25.0,5.0,30,Março,3,2011
orkut.com,47.0,239.0,286,Março,3,2011
twitter.com,156.0,458.0,614,Março,3,2011
orkut.com.br,1414.0,7028.0,8442,Março,3,2011
imgsru.ru,21.0,0.0,21,Março,3,2011
imagearn.com,26.0,2.0,28,Março,3,2011
imgsrc.ru,262.0,8.0,270,Março,3,2011
facebook.com,139.0,290.0,429,Abril,4,2011
youtube.com,126.0,73.0,199,Abril,4,2011
nm.ru,41.0,0.0,41,Abril,4,2011
orkut.co.in,40.0,15.0,55,Abril,4,2011
yahoo.com,53.0,2.0,55,Abril,4,2011
sapo.pt,39.0,1.0,40,Abril,4,2011
orkut.com,47.0,199.0,246,Abril,4,2011
twitter.com,187.0,597.0,784,Abril,4,2011
orkut.com.br,1814.0,9570.0,11384,Abril,4,2011
imgsru.ru,234.0,0.0,234,Abril,4,2011
facebook.com,121.0,31.0,152,Maio,5,2011
youtube.com,111.0,28.0,139,Maio,5,2011
twitpic.com,98.0,695.0,793,Maio,5,2011
4shared.com,44.0,30.0,74,Maio,5,2011
orkut.com,49.0,286.0,335,Maio,5,2011
twitter.com,650.0,5832.0,6482,Maio,5,2011
orkut.com.br,2172.0,10941.0,13113,Maio,5,2011
imgsru.ru,74.0,2.0,76,Maio,5,2011
imgsrc.ru,71.0,23.0,94,Maio,5,2011
t.co,54.0,53.0,107,Junho,6,2011
facebook.com,145.0,225.0,370,Junho,6,2011
youtube.com,143.0,469.0,612,Junho,6,2011
4shared.com,38.0,4.0,42,Junho,6,2011
uol.com.br,31.0,109.0,140,Junho,6,2011
twitter.com,242.0,662.0,904,Junho,6,2011
orkut.com.br,1616.0,8532.0,10148,Junho,6,2011
sexoinfantil.blogspot.com,32.0,6177.0,6209,Junho,6,2011
linkbucks.com,89.0,2.0,91,Junho,6,2011
imgsrc.ru,76.0,21.0,97,Junho,6,2011
facebook.com,85.0,36.0,121,Julho,7,2011
xvideos.com,30.0,29.0,59,Julho,7,2011
youtube.com,118.0,60.0,178,Julho,7,2011
motherless.com,32.0,17.0,49,Julho,7,2011
videarn.com,43.0,6.0,49,Julho,7,2011
orkut.com,26.0,178.0,204,Julho,7,2011
twitter.com,255.0,244.0,499,Julho,7,2011
orkut.com.br,1805.0,9955.0,11760,Julho,7,2011
imgsru.ru,100.0,0.0,100,Julho,7,2011
imgsrc.ru,93.0,21.0,114,Julho,7,2011
facebook.com,113.0,23.0,136,Agosto,8,2011
youtube.com,151.0,163.0,314,Agosto,8,2011
motherless.com,41.0,14.0,55,Agosto,8,2011
videarn.com,28.0,6.0,34,Agosto,8,2011
orkut.com,63.0,265.0,328,Agosto,8,2011
twitter.com,120.0,350.0,470,Agosto,8,2011
orkut.com.br,2442.0,11627.0,14069,Agosto,8,2011
imgsru.ru,76.0,0.0,76,Agosto,8,2011
wordpress.com,48.0,207.0,255,Agosto,8,2011
imgsrc.ru,48.0,13.0,61,Agosto,8,2011
facebook.com,213.0,119.0,332,Setembro,9,2011
xvideos.com,41.0,34.0,75,Setembro,9,2011
youtube.com,173.0,703.0,876,Setembro,9,2011
live.com,40.0,5.0,45,Setembro,9,2011
orkut.com,104.0,272.0,376,Setembro,9,2011
google.com.br,61.0,28.0,89,Setembro,9,2011
silviokoerich.com,64.0,4593.0,4657,Setembro,9,2011
twitter.com,122.0,134.0,256,Setembro,9,2011
orkut.com.br,2361.0,13209.0,15570,Setembro,9,2011
imgsrc.ru,131.0,11.0,142,Setembro,9,2011
t.co,69.0,98.0,167,Outubro,10,2011
facebook.com,689.0,921.0,1610,Outubro,10,2011
youtube.com,159.0,130.0,289,Outubro,10,2011
simapedofilia.blogspot.com,46.0,8451.0,8497,Outubro,10,2011
orkut.com,62.0,227.0,289,Outubro,10,2011
silviokoerich.com,83.0,2652.0,2735,Outubro,10,2011
twitter.com,326.0,1186.0,1512,Outubro,10,2011
orkut.com.br,2216.0,8716.0,10932,Outubro,10,2011
amantezoocba.blogspot.com,45.0,119.0,164,Outubro,10,2011
imgsrc.ru,161.0,350.0,511,Outubro,10,2011
facebook.com,910.0,2324.0,3234,Novembro,11,2011
xvideos.com,35.0,27.0,62,Novembro,11,2011
youtube.com,190.0,494.0,684,Novembro,11,2011
google.com,29.0,34.0,63,Novembro,11,2011
orkut.com,65.0,402.0,467,Novembro,11,2011
silviokoerich.com,100.0,2932.0,3032,Novembro,11,2011
twitter.com,196.0,530.0,726,Novembro,11,2011
orkut.com.br,2063.0,7861.0,9924,Novembro,11,2011
silviokoerich.org,259.0,13276.0,13535,Novembro,11,2011
imgsrc.ru,177.0,21.0,198,Novembro,11,2011
facebook.com,1810.0,1174.0,2984,Dezembro,12,2011
xvideos.com,50.0,20.0,70,Dezembro,12,2011
youtube.com,458.0,1693.0,2151,Dezembro,12,2011
tumblr.com,71.0,320.0,391,Dezembro,12,2011
silviokoerich.com,171.0,23459.0,23630,Dezembro,12,2011
twitter.com,1023.0,44907.0,45930,Dezembro,12,2011
orkut.com.br,1470.0,3792.0,5262,Dezembro,12,2011
imagebam.com,82.0,4.0,86,Dezembro,12,2011
silviokoerich.org,300.0,15923.0,16223,Dezembro,12,2011
imgsrc.ru,117.0,21.0,138,Dezembro,12,2011
terra.com.br,26.0,15.0,41,Janeiro,1,2012
facebook.com,419.0,206.0,625,Janeiro,1,2012
xvideos.com,30.0,25.0,55,Janeiro,1,2012
youtube.com,165.0,114.0,279,Janeiro,1,2012
motherless.com,34.0,7.0,41,Janeiro,1,2012
tumblr.com,69.0,283.0,352,Janeiro,1,2012
twitter.com,177.0,1274.0,1451,Janeiro,1,2012
orkut.com.br,1205.0,5032.0,6237,Janeiro,1,2012
silviokoerich.org,58.0,836.0,894,Janeiro,1,2012
imgsrc.ru,56.0,16.0,72,Janeiro,1,2012
facebook.com,849.0,7374.0,8223,Fevereiro,2,2012
youtube.com,126.0,66.0,192,Fevereiro,2,2012
fbcdn.net,21.0,78.0,99,Fevereiro,2,2012
tumblr.com,30.0,8.0,38,Fevereiro,2,2012
orkut.com,21.0,24.0,45,Fevereiro,2,2012
twitter.com,134.0,362.0,496,Fevereiro,2,2012
orkut.com.br,749.0,4551.0,5300,Fevereiro,2,2012
silviokoerich.org,49.0,2279.0,2328,Fevereiro,2,2012
wordpress.com,30.0,21.0,51,Fevereiro,2,2012
imgsrc.ru,267.0,11.0,278,Fevereiro,2,2012
terra.com.br,32.0,13.0,45,Março,3,2012
habbo.com.br,31.0,35.0,66,Março,3,2012
facebook.com,649.0,538.0,1187,Março,3,2012
youtube.com,231.0,135.0,366,Março,3,2012
yahoo.com,29.0,5.0,34,Março,3,2012
twitter.com,167.0,1487.0,1654,Março,3,2012
orkut.com.br,1096.0,5357.0,6453,Março,3,2012
silviokoerich.org,33.0,553.0,586,Março,3,2012
wordpress.com,25.0,54.0,79,Março,3,2012
imgsrc.ru,138.0,11.0,149,Março,3,2012
terra.com.br,24.0,23.0,47,Abril,4,2012
facebook.com,564.0,786.0,1350,Abril,4,2012
youtube.com,186.0,57.0,243,Abril,4,2012
tumblr.com,46.0,40.0,86,Abril,4,2012
yahoo.com,19.0,22.0,41,Abril,4,2012
twitter.com,151.0,700.0,851,Abril,4,2012
orkut.com.br,1115.0,3599.0,4714,Abril,4,2012
silviokoerich.org,47.0,1671.0,1718,Abril,4,2012
wordpress.com,32.0,39.0,71,Abril,4,2012
imgsrc.ru,36.0,8.0,44,Abril,4,2012
facebook.com,687.0,1378.0,2065,Maio,5,2012
xvideos.com,22.0,11.0,33,Maio,5,2012
youtube.com,156.0,102.0,258,Maio,5,2012
tumblr.com,30.0,243.0,273,Maio,5,2012
yahoo.com,21.0,41.0,62,Maio,5,2012
co.cc,25.0,11.0,36,Maio,5,2012
orkut.com,58.0,69.0,127,Maio,5,2012
twitter.com,205.0,596.0,801,Maio,5,2012
orkut.com.br,1401.0,3533.0,4934,Maio,5,2012
imgsrc.ru,91.0,189.0,280,Maio,5,2012
facebook.com,543.0,616.0,1159,Junho,6,2012
youtube.com,86.0,77.0,163,Junho,6,2012
jkpos24pl2r3urlw.onion,31.0,2.0,33,Junho,6,2012
defesa-hetero.blogspot.com.br,28.0,19.0,47,Junho,6,2012
yahoo.com,27.0,14.0,41,Junho,6,2012
aimoo.com,32.0,11.0,43,Junho,6,2012
google.com.br,24.0,2.0,26,Junho,6,2012
twitter.com,126.0,322.0,448,Junho,6,2012
orkut.com.br,1462.0,3155.0,4617,Junho,6,2012
imgsrc.ru,47.0,43.0,90,Junho,6,2012
facebook.com,1314.0,5536.0,6850,Julho,7,2012
youtube.com,130.0,46.0,176,Julho,7,2012
tumblr.com,226.0,646.0,872,Julho,7,2012
ask.fm,62.0,107.0,169,Julho,7,2012
zoofboy.blogspot.com.br,52.0,93.0,145,Julho,7,2012
orkut.com,52.0,25.0,77,Julho,7,2012
twitter.com,313.0,974.0,1287,Julho,7,2012
xoxotascaninas.blogspot.com.br,100.0,467.0,567,Julho,7,2012
orkut.com.br,1605.0,3271.0,4876,Julho,7,2012
imgsrc.ru,36.0,29.0,65,Julho,7,2012
facebook.com,1238.0,2876.0,4114,Agosto,8,2012
youtube.com,140.0,282.0,422,Agosto,8,2012
tumblr.com,31.0,68.0,99,Agosto,8,2012
ask.fm,199.0,541.0,740,Agosto,8,2012
orkut.com,53.0,23.0,76,Agosto,8,2012
testosterona.blog.br,23.0,793.0,816,Agosto,8,2012
twitter.com,130.0,257.0,387,Agosto,8,2012
akamaihd.net,39.0,236.0,275,Agosto,8,2012
orkut.com.br,2318.0,4138.0,6456,Agosto,8,2012
imgsrc.ru,35.0,42.0,77,Agosto,8,2012
facebook.com,948.0,1258.0,2206,Setembro,9,2012
xvideos.com,40.0,13.0,53,Setembro,9,2012
youtube.com,113.0,95.0,208,Setembro,9,2012
motherless.com,26.0,5.0,31,Setembro,9,2012
tumblr.com,31.0,22.0,53,Setembro,9,2012
ask.fm,229.0,566.0,795,Setembro,9,2012
orkut.com,26.0,28.0,54,Setembro,9,2012
uol.com.br,20.0,10.0,30,Setembro,9,2012
twitter.com,128.0,955.0,1083,Setembro,9,2012
orkut.com.br,1889.0,2687.0,4576,Setembro,9,2012
kodiefiles.nl,126.0,2.0,128,Outubro,10,2012
facebook.com,1636.0,4494.0,6130,Outubro,10,2012
xvideos.com,68.0,38.0,106,Outubro,10,2012
youtube.com,157.0,90.0,247,Outubro,10,2012
minus.com,30.0,13.0,43,Outubro,10,2012
uni.me,29.0,5.0,34,Outubro,10,2012
tumblr.com,41.0,34.0,75,Outubro,10,2012
ask.fm,338.0,902.0,1240,Outubro,10,2012
twitter.com,397.0,1169.0,1566,Outubro,10,2012
orkut.com.br,2183.0,2982.0,5165,Outubro,10,2012
facebook.com,1424.0,3451.0,4875,Novembro,11,2012
youtube.com,201.0,221.0,422,Novembro,11,2012
minus.com,82.0,74.0,156,Novembro,11,2012
tumblr.com,64.0,85.0,149,Novembro,11,2012
yahoo.com,41.0,5.0,46,Novembro,11,2012
ask.fm,387.0,1225.0,1612,Novembro,11,2012
twitter.com,144.0,115.0,259,Novembro,11,2012
akamaihd.net,33.0,9.0,42,Novembro,11,2012
orkut.com.br,1776.0,3529.0,5305,Novembro,11,2012
imgsrc.ru,31.0,12.0,43,Novembro,11,2012
facebook.com,1220.0,2874.0,4094,Dezembro,12,2012
xvideos.com,48.0,40.0,88,Dezembro,12,2012
youtube.com,136.0,107.0,243,Dezembro,12,2012
tumblr.com,88.0,75.0,163,Dezembro,12,2012
ask.fm,229.0,395.0,624,Dezembro,12,2012
google.com,18.0,8.0,26,Dezembro,12,2012
uol.com.br,27.0,40.0,67,Dezembro,12,2012
twitter.com,169.0,363.0,532,Dezembro,12,2012
orkut.com.br,1043.0,1552.0,2595,Dezembro,12,2012
imgsrc.ru,16.0,9.0,25,Dezembro,12,2012
habbo.com.br,233.0,151.0,384,Janeiro,1,2013
facebook.com,1794.0,9218.0,11012,Janeiro,1,2013
xvideos.com,38.0,25.0,63,Janeiro,1,2013
youtube.com,143.0,81.0,224,Janeiro,1,2013
tumblr.com,62.0,137.0,199,Janeiro,1,2013
yahoo.com,43.0,3.0,46,Janeiro,1,2013
ask.fm,250.0,373.0,623,Janeiro,1,2013
pega-nelas.blogspot.com.br,182.0,350.0,532,Janeiro,1,2013
twitter.com,254.0,843.0,1097,Janeiro,1,2013
orkut.com.br,1574.0,4251.0,5825,Janeiro,1,2013
facebook.com,1271.0,2512.0,3783,Fevereiro,2,2013
xvideos.com,45.0,32.0,77,Fevereiro,2,2013
youtube.com,150.0,57.0,207,Fevereiro,2,2013
tumblr.com,81.0,112.0,193,Fevereiro,2,2013
sexibl.com,24.0,3.0,27,Fevereiro,2,2013
yahoo.com,29.0,5.0,34,Fevereiro,2,2013
ask.fm,172.0,482.0,654,Fevereiro,2,2013
twitter.com,125.0,314.0,439,Fevereiro,2,2013
orkut.com.br,1208.0,5221.0,6429,Fevereiro,2,2013
bing.com,23.0,7.0,30,Fevereiro,2,2013
facebook.com,2027.0,6552.0,8579,Março,3,2013
xvideos.com,23.0,65.0,88,Março,3,2013
youtube.com,186.0,1035.0,1221,Março,3,2013
fbcdn.net,23.0,10.0,33,Março,3,2013
tumblr.com,36.0,38.0,74,Março,3,2013
globo.com,29.0,22.0,51,Março,3,2013
ask.fm,121.0,243.0,364,Março,3,2013
putariaemoff.net,33.0,1.0,34,Março,3,2013
twitter.com,100.0,228.0,328,Março,3,2013
orkut.com.br,1295.0,10050.0,11345,Março,3,2013
fc2.com,34.0,12.0,46,Abril,4,2013
facebook.com,2315.0,4453.0,6768,Abril,4,2013
xvideos.com,76.0,20.0,96,Abril,4,2013
youtube.com,218.0,307.0,525,Abril,4,2013
tumblr.com,35.0,45.0,80,Abril,4,2013
globo.com,40.0,27.0,67,Abril,4,2013
ask.fm,105.0,105.0,210,Abril,4,2013
twitter.com,84.0,165.0,249,Abril,4,2013
orkut.com.br,817.0,11298.0,12115,Abril,4,2013
vk.com,101.0,4.0,105,Abril,4,2013
facebook.com,1470.0,2706.0,4176,Maio,5,2013
xvideos.com,81.0,27.0,108,Maio,5,2013
youtube.com,186.0,123.0,309,Maio,5,2013
tumblr.com,40.0,42.0,82,Maio,5,2013
sexibl.com,217.0,34.0,251,Maio,5,2013
globo.com,43.0,23.0,66,Maio,5,2013
ask.fm,104.0,144.0,248,Maio,5,2013
twitter.com,309.0,159.0,468,Maio,5,2013
orkut.com.br,1023.0,8851.0,9874,Maio,5,2013
vk.com,61.0,6.0,67,Maio,5,2013
facebook.com,1577.0,5462.0,7039,Junho,6,2013
xvideos.com,57.0,20.0,77,Junho,6,2013
youtube.com,134.0,155.0,289,Junho,6,2013
tumblr.com,62.0,26.0,88,Junho,6,2013
sexibl.com,276.0,81.0,357,Junho,6,2013
globo.com,30.0,18.0,48,Junho,6,2013
ask.fm,55.0,86.0,141,Junho,6,2013
twitter.com,208.0,117.0,325,Junho,6,2013
orkut.com.br,856.0,8774.0,9630,Junho,6,2013
vk.com,54.0,7.0,61,Junho,6,2013
facebook.com,1406.0,5914.0,7320,Julho,7,2013
xvideos.com,58.0,24.0,82,Julho,7,2013
youtube.com,112.0,50.0,162,Julho,7,2013
sexibl.com,151.0,47.0,198,Julho,7,2013
yahoo.com,35.0,3.0,38,Julho,7,2013
ask.fm,57.0,66.0,123,Julho,7,2013
google.com.br,35.0,51.0,86,Julho,7,2013
twitter.com,73.0,69.0,142,Julho,7,2013
orkut.com.br,553.0,5464.0,6017,Julho,7,2013
vk.com,75.0,14.0,89,Julho,7,2013
facebook.com,1198.0,2034.0,3232,Agosto,8,2013
xvideos.com,108.0,29.0,137,Agosto,8,2013
youtube.com,120.0,129.0,249,Agosto,8,2013
sexibl.com,67.0,40.0,107,Agosto,8,2013
ask.fm,49.0,51.0,100,Agosto,8,2013
twitter.com,86.0,92.0,178,Agosto,8,2013
akamaihd.net,39.0,27.0,66,Agosto,8,2013
orkut.com.br,633.0,2133.0,2766,Agosto,8,2013
vk.com,37.0,9.0,46,Agosto,8,2013
bufalo.info,81.0,92.0,173,Agosto,8,2013
homemdebem.org,122.0,6365.0,6487,Setembro,9,2013
terra.com.br,34.0,51.0,85,Setembro,9,2013
mundorealista.com,29.0,45.0,74,Setembro,9,2013
facebook.com,929.0,1799.0,2728,Setembro,9,2013
xvideos.com,57.0,10.0,67,Setembro,9,2013
youtube.com,91.0,46.0,137,Setembro,9,2013
sexibl.com,142.0,76.0,218,Setembro,9,2013
twitter.com,62.0,91.0,153,Setembro,9,2013
orkut.com.br,660.0,2970.0,3630,Setembro,9,2013
bufalo.info,33.0,1092.0,1125,Setembro,9,2013
homemdebem.org,280.0,20736.0,21016,Outubro,10,2013
terra.com.br,70.0,154.0,224,Outubro,10,2013
mundorealista.com,74.0,847.0,921,Outubro,10,2013
facebook.com,993.0,1684.0,2677,Outubro,10,2013
xvideos.com,101.0,35.0,136,Outubro,10,2013
youtube.com,110.0,27.0,137,Outubro,10,2013
sexibl.com,65.0,29.0,94,Outubro,10,2013
twitter.com,86.0,115.0,201,Outubro,10,2013
dropbox.com,44.0,15.0,59,Outubro,10,2013
orkut.com.br,596.0,2107.0,2703,Outubro,10,2013
homemdebem.org,44.0,8110.0,8154,Novembro,11,2013
terra.com.br,43.0,38.0,81,Novembro,11,2013
facebook.com,1118.0,1569.0,2687,Novembro,11,2013
xvideos.com,172.0,76.0,248,Novembro,11,2013
youtube.com,178.0,60.0,238,Novembro,11,2013
ask.fm,51.0,185.0,236,Novembro,11,2013
orkut.com,37.0,12.0,49,Novembro,11,2013
twitter.com,112.0,320.0,432,Novembro,11,2013
orkut.com.br,741.0,1955.0,2696,Novembro,11,2013
imgsrc.ru,41.0,6.0,47,Novembro,11,2013
terra.com.br,94.0,270.0,364,Dezembro,12,2013
facebook.com,1102.0,1086.0,2188,Dezembro,12,2013
xvideos.com,80.0,48.0,128,Dezembro,12,2013
youtube.com,243.0,7857.0,8100,Dezembro,12,2013
tumblr.com,31.0,42.0,73,Dezembro,12,2013
ask.fm,30.0,30.0,60,Dezembro,12,2013
twitter.com,99.0,521.0,620,Dezembro,12,2013
dropbox.com,32.0,61.0,93,Dezembro,12,2013
orkut.com.br,419.0,1694.0,2113,Dezembro,12,2013
imgsrc.ru,28.0,8.0,36,Dezembro,12,2013
homemdebem.org,82.0,19280.0,19362,Janeiro,1,2014
terra.com.br,51.0,98.0,149,Janeiro,1,2014
facebook.com,1299.0,2033.0,3332,Janeiro,1,2014
xvideos.com,111.0,47.0,158,Janeiro,1,2014
youtube.com,176.0,1084.0,1260,Janeiro,1,2014
motherless.com,46.0,4.0,50,Janeiro,1,2014
tumblr.com,52.0,81.0,133,Janeiro,1,2014
ask.fm,35.0,82.0,117,Janeiro,1,2014
twitter.com,61.0,63.0,124,Janeiro,1,2014
orkut.com.br,387.0,2054.0,2441,Janeiro,1,2014
terra.com.br,47.0,110.0,157,Fevereiro,2,2014
facebook.com,1306.0,2459.0,3765,Fevereiro,2,2014
xvideos.com,130.0,88.0,218,Fevereiro,2,2014
youtube.com,86.0,76.0,162,Fevereiro,2,2014
motherless.com,29.0,3.0,32,Fevereiro,2,2014
tumblr.com,37.0,6268.0,6305,Fevereiro,2,2014
twitter.com,200.0,288.0,488,Fevereiro,2,2014
dropbox.com,30.0,4.0,34,Fevereiro,2,2014
orkut.com.br,590.0,2010.0,2600,Fevereiro,2,2014
wordpress.com,75.0,7342.0,7417,Fevereiro,2,2014
terra.com.br,44.0,53.0,97,Março,3,2014
facebook.com,2269.0,4443.0,6712,Março,3,2014
xvideos.com,176.0,81.0,257,Março,3,2014
youtube.com,201.0,737.0,938,Março,3,2014
tumblr.com,46.0,10.0,56,Março,3,2014
globo.com,29.0,4.0,33,Março,3,2014
imgur.com,43.0,46.0,89,Março,3,2014
grandegaroto.com.br,33.0,16.0,49,Março,3,2014
twitter.com,68.0,88.0,156,Março,3,2014
orkut.com.br,645.0,2148.0,2793,Março,3,2014
terra.com.br,36.0,45.0,81,Abril,4,2014
facebook.com,1873.0,3883.0,5756,Abril,4,2014
xvideos.com,124.0,159.0,283,Abril,4,2014
youtube.com,168.0,489.0,657,Abril,4,2014
tumblr.com,31.0,21.0,52,Abril,4,2014
globo.com,33.0,19.0,52,Abril,4,2014
imgur.com,30.0,23.0,53,Abril,4,2014
twitter.com,60.0,61.0,121,Abril,4,2014
orkut.com.br,458.0,2646.0,3104,Abril,4,2014
vk.com,25.0,2.0,27,Abril,4,2014
terra.com.br,60.0,39.0,99,Maio,5,2014
facebook.com,1535.0,1819.0,3354,Maio,5,2014
xvideos.com,144.0,82.0,226,Maio,5,2014
youtube.com,85.0,91.0,176,Maio,5,2014
tumblr.com,27.0,5.0,32,Maio,5,2014
imgur.com,30.0,25.0,55,Maio,5,2014
google.com,30.0,13.0,43,Maio,5,2014
twitter.com,48.0,70.0,118,Maio,5,2014
dropbox.com,37.0,5.0,42,Maio,5,2014
orkut.com.br,365.0,1801.0,2166,Maio,5,2014
terra.com.br,43.0,49.0,92,Junho,6,2014
facebook.com,1745.0,3411.0,5156,Junho,6,2014
xvideos.com,124.0,80.0,204,Junho,6,2014
youtube.com,74.0,29.0,103,Junho,6,2014
tumblr.com,40.0,23.0,63,Junho,6,2014
anuncios-classificados.net,48.0,12.0,60,Junho,6,2014
google.com,36.0,10.0,46,Junho,6,2014
jimdo.com,37.0,3750.0,3787,Junho,6,2014
twitter.com,133.0,213.0,346,Junho,6,2014
orkut.com.br,607.0,1559.0,2166,Junho,6,2014
terra.com.br,47.0,22.0,69,Julho,7,2014
facebook.com,1763.0,1416.0,3179,Julho,7,2014
xvideos.com,136.0,81.0,217,Julho,7,2014
youtube.com,97.0,29.0,126,Julho,7,2014
tumblr.com,29.0,14.0,43,Julho,7,2014
google.com,45.0,5.0,50,Julho,7,2014
twitter.com,246.0,117.0,363,Julho,7,2014
dropbox.com,25.0,8.0,33,Julho,7,2014
orkut.com.br,501.0,281.0,782,Julho,7,2014
imgsrc.ru,37.0,6.0,43,Julho,7,2014
terra.com.br,55.0,26.0,81,Agosto,8,2014
xnxx.com,29.0,5.0,34,Agosto,8,2014
facebook.com,1257.0,1252.0,2509,Agosto,8,2014
xvideos.com,155.0,56.0,211,Agosto,8,2014
novinhas.tv,26.0,3.0,29,Agosto,8,2014
youtube.com,124.0,113.0,237,Agosto,8,2014
google.com,33.0,7.0,40,Agosto,8,2014
uol.com.br,32.0,31.0,63,Agosto,8,2014
twitter.com,149.0,104.0,253,Agosto,8,2014
orkut.com.br,191.0,127.0,318,Agosto,8,2014
terra.com.br,65.0,53.0,118,Setembro,9,2014
facebook.com,1763.0,4081.0,5844,Setembro,9,2014
xvideos.com,120.0,42.0,162,Setembro,9,2014
youtube.com,175.0,937.0,1112,Setembro,9,2014
imgur.com,33.0,11.0,44,Setembro,9,2014
google.com,32.0,4.0,36,Setembro,9,2014
google.com.br,30.0,6.0,36,Setembro,9,2014
twitter.com,85.0,71.0,156,Setembro,9,2014
dropbox.com,35.0,27.0,62,Setembro,9,2014
orkut.com.br,194.0,108.0,302,Setembro,9,2014
instagram.com,141.0,34.0,175,Outubro,10,2014
terra.com.br,47.0,48.0,95,Outubro,10,2014
facebook.com,10884.0,5971.0,16855,Outubro,10,2014
xvideos.com,123.0,66.0,189,Outubro,10,2014
youtube.com,210.0,231.0,441,Outubro,10,2014
fbcdn.net,69.0,178.0,247,Outubro,10,2014
