Domínio,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
orkut.com,3261.0,28816.0,32077,Janeiro,1,2007
uol.com.br,24.0,3.0,27,Janeiro,1,2007
vivos.com.br,6.0,2.0,8,Janeiro,1,2007
manuzinha.com,11.0,3.0,14,Janeiro,1,2007
cuteloblog.com,6.0,8.0,14,Janeiro,1,2007
whiterevolution-ne.org,15.0,2.0,17,Fevereiro,2,2007
youtube.com,68.0,32.0,100,Fevereiro,2,2007
pornotube.com,40.0,4.0,44,Fevereiro,2,2007
ig.com.br,9.0,3.0,12,Fevereiro,2,2007
wwworkut.com,22.0,1.0,23,Fevereiro,2,2007
uolk.com.br,9.0,4.0,13,Fevereiro,2,2007
orkut.com,2768.0,24064.0,26832,Fevereiro,2,2007
uol.com.br,27.0,15.0,42,Fevereiro,2,2007
www.orkutcom,8.0,0.0,8,Fevereiro,2,2007
imagefap.com,7.0,0.0,7,Fevereiro,2,2007
zip.net,8.0,7.0,15,Março,3,2007
youtube.com,10.0,70.0,80,Março,3,2007
pornotube.com,64.0,27.0,91,Março,3,2007
ig.com.br,7.0,1.0,8,Março,3,2007
wwworkut.com,212.0,22.0,234,Março,3,2007
uolk.com.br,8.0,2.0,10,Março,3,2007
orkut.com,3959.0,35130.0,39089,Março,3,2007
uol.com.br,18.0,13.0,31,Março,3,2007
orku.com,23.0,0.0,23,Março,3,2007
youtube.com,13.0,8.0,21,Abril,4,2007
magicvideo.biz,6.0,5.0,11,Abril,4,2007
yahoo.com,7.0,1.0,8,Abril,4,2007
livedoor.jp,8.0,1.0,9,Abril,4,2007
mclt-sites.net,11.0,67.0,78,Abril,4,2007
orkut.com,4840.0,39328.0,44168,Abril,4,2007
uol.com.br,36.0,24.0,60,Abril,4,2007
www.com,8.0,0.0,8,Abril,4,2007
imagefap.com,9.0,0.0,9,Abril,4,2007
youtube.com,20.0,5.0,25,Maio,5,2007
orkut.com,5697.0,55970.0,61667,Maio,5,2007
uol.com.br,63.0,29.0,92,Maio,5,2007
littlelupe.com,11.0,0.0,11,Maio,5,2007
lolita2007.com,12.0,18.0,30,Maio,5,2007
locollection.com,8.0,30.0,38,Maio,5,2007
thecrazypedo.com,23.0,1002.0,1025,Maio,5,2007
www.com,9.0,1.0,10,Maio,5,2007
ygirlz.info,7.0,9.0,16,Maio,5,2007
youtube.com,26.0,31.0,57,Junho,6,2007
lolalist.info,24.0,151.0,175,Junho,6,2007
imageshack.us,11.0,36.0,47,Junho,6,2007
yahoo.com,18.0,0.0,18,Junho,6,2007
4shared.com,10.0,15.0,25,Junho,6,2007
luziduef.com,17.0,1.0,18,Junho,6,2007
plola.com,7.0,21.0,28,Junho,6,2007
orkut.com,5653.0,64322.0,69975,Junho,6,2007
uol.com.br,47.0,17.0,64,Junho,6,2007
nafoto.net,7.0,6.0,13,Julho,7,2007
youtube.com,15.0,8.0,23,Julho,7,2007
depositfiles.com,24.0,3.0,27,Julho,7,2007
geocities.com,12.0,1.0,13,Julho,7,2007
imageshack.us,9.0,8.0,17,Julho,7,2007
rapidshare.com,7.0,0.0,7,Julho,7,2007
orkut.com,5123.0,71123.0,76246,Julho,7,2007
uol.com.br,33.0,13.0,46,Julho,7,2007
littlelupe.com,7.0,4.0,11,Julho,7,2007
imgsrc.ru,9.0,2.0,11,Julho,7,2007
youtube.com,17.0,7.0,24,Agosto,8,2007
pornotube.com,8.0,4.0,12,Agosto,8,2007
imageshack.us,20.0,42.0,62,Agosto,8,2007
yahoo.com,14.0,9.0,23,Agosto,8,2007
powerscrap.com,43.0,60.0,103,Agosto,8,2007
orkut.com,4722.0,61546.0,66268,Agosto,8,2007
uol.com.br,23.0,22.0,45,Agosto,8,2007
blogger.com,9.0,28.0,37,Agosto,8,2007
chueca.com,21.0,12.0,33,Agosto,8,2007
orkut.com.br,8.0,4.0,12,Agosto,8,2007
youtube.com,13.0,2.0,15,Setembro,9,2007
yahoo.com,22.0,4.0,26,Setembro,9,2007
glamour-new-preview.com,15.0,23.0,38,Setembro,9,2007
powerscrap.com,31.0,113.0,144,Setembro,9,2007
rapidshare.com,8.0,0.0,8,Setembro,9,2007
orkut.com,4269.0,44106.0,48375,Setembro,9,2007
uol.com.br,41.0,15.0,56,Setembro,9,2007
orku.com,7.0,0.0,7,Setembro,9,2007
www.com,14.0,9.0,23,Setembro,9,2007
nafoto.net,8.0,0.0,8,Outubro,10,2007
youtube.com,15.0,0.0,15,Outubro,10,2007
imageshack.us,12.0,2.0,14,Outubro,10,2007
ucgalleries.com,16.0,25.0,41,Outubro,10,2007
rapidshare.com,7.0,0.0,7,Outubro,10,2007
clickgratis.com.br,53.0,5.0,58,Outubro,10,2007
orkut.com,4410.0,33542.0,37952,Outubro,10,2007
uol.com.br,42.0,24.0,66,Outubro,10,2007
www.orkutcom,19.0,0.0,19,Outubro,10,2007
www.com,113.0,93.0,206,Outubro,10,2007
pedia.ws,4.0,0.0,4,Novembro,11,2007
euodeioomerdil.blogspot.com,5.0,8.0,13,Novembro,11,2007
nafoto.net,9.0,10.0,19,Novembro,11,2007
youtube.com,13.0,1.0,14,Novembro,11,2007
imageshack.us,4.0,0.0,4,Novembro,11,2007
orkut.com,6792.0,51660.0,58452,Novembro,11,2007
uol.com.br,46.0,140.0,186,Novembro,11,2007
blboys.com,4.0,3.0,7,Novembro,11,2007
wikipedia.org.br,4.0,1.0,5,Novembro,11,2007
paran.com,8.0,50.0,58,Dezembro,12,2007
youtube.com,18.0,1.0,19,Dezembro,12,2007
imageshack.us,6.0,0.0,6,Dezembro,12,2007
rapidshare.com,8.0,0.0,8,Dezembro,12,2007
flickr.com,5.0,28.0,33,Dezembro,12,2007
110mb.com,24.0,5.0,29,Dezembro,12,2007
orkut.com,4684.0,34778.0,39462,Dezembro,12,2007
