Ano,Domínio,Únicas,Duplicadas,Total de Denúncias,Mês Número
2008,redtube.com,11.0,2.0,13,10
2008,sexpornhost.com,8.0,3.0,11,8
2008,sexypix.biz,8.0,0.0,8,9
2008,sofuckingfunny.com,37.0,6.0,43,17
2008,solsem.org,29.0,4.0,33,1
2008,tremworldspicturey.blogspot.com,37.0,8985.0,9022,11
2008,ucoz.ru,10.0,0.0,10,6
2008,uol.com.br,858.0,212.0,1070,78
2008,uploadqueen.com,32.0,7.0,39,8
2008,usercash.com,25.0,0.0,25,2
2008,viplox.com,17.0,1.0,18,9
2008,vipzax.com,41.0,36.0,77,22
2008,xvideos.com,11.0,1.0,12,12
2008,yahoo.com,31.0,1.0,32,28
2008,yourfilehost.com,9.0,0.0,9,7
2008,youtube.com,362.0,91.0,453,78
2009,100nonude.com,9.0,6.0,15,4
2009,4shared.com,218.0,120.0,338,55
2009,50webs.com,61.0,8.0,69,24
2009,bestzona.ru,20.0,0.0,20,10
2009,brownallbe45.com,59.0,2.0,61,23
2009,c.br,15.0,0.0,15,2
2009,co.br,1982.0,1803.0,3785,5
2009,co.cc,20.0,12.0,32,11
2009,cyanidesuicide.com,20.0,0.0,20,9
2009,imagebam.com,25.0,25.0,50,6
2009,imageboard4free.com,15.0,0.0,15,9
2009,imageshack.us,8.0,0.0,8,1
2009,imgsrc.ru,14.0,6.0,20,7
2009,lollysweet.cn,50.0,7.0,57,23
2009,lolpix.cn,8.0,4.0,12,6
2009,m.br,13.0,3.0,16,3
2009,orku.com.br,52.0,1.0,53,12
2009,orkut.br,27.0,0.0,27,2
2009,orkut.co,526.0,326.0,852,5
2009,orkut.co.in,28.0,0.0,28,10
2009,orkut.cobr,17.0,0.0,17,2
2009,orkut.com,5863.0,55289.0,61152,78
2009,orkut.com.br,60221.0,346203.0,406424,78
2009,radikal.ru,30.0,0.0,30,10
2009,sapo.pt,7.0,2.0,9,1
2009,tokario.com,27.0,0.0,27,11
2009,twitter.com,10.0,24.0,34,8
2009,uol.com.br,1400.0,398.0,1798,78
2009,vilabol.com.br,16.0,0.0,16,5
2009,winterarea.net,6.0,0.0,6,1
2009,wordpress.com,169.0,173.0,342,72
2009,world-collections.com,10.0,3.0,13,4
2009,xvideos.com,12.0,3.0,15,6
2009,yahoo.com,104.0,18.0,122,43
2009,youtube.com,866.0,356.0,1222,78
2010,4shared.com,277.0,262.0,539,46
2010,50webs.com,36.0,25.0,61,3
2010,archive.org,27.0,2.0,29,9
2010,artn-models.info,72.0,23310.0,23382,8
2010,bestlolasite.com,90.0,0.0,90,4
