Período,Domínio,Únicas,Duplicadas,Total
01/02/2010 a 28/02/2010,wordpress.com,11,32,43
01/02/2010 a 28/02/2010,50webs.com,24,9,33
01/02/2010 a 28/02/2010,imagefap.com,22,1,23
,,,,
01/03/2010 a 31/03/2010,xvideos.com,20,11,31
01/03/2010 a 31/03/2010,youtube.com,54,41,95
01/03/2010 a 31/03/2010,tagged.com,20,0,20
01/03/2010 a 31/03/2010,4shared.com,29,5,34
01/03/2010 a 31/03/2010,orkut.com,659,2209,2868
01/03/2010 a 31/03/2010,uol.com.br,46,24,70
01/03/2010 a 31/03/2010,twitter.com,22,558,580
01/03/2010 a 31/03/2010,orkut.com.br,3377,22711,26088
01/03/2010 a 31/03/2010,imagebam.com,22,2,24
,,,,
01/04/2010 a 30/04/2010,youtube.com,142,23,165
01/04/2010 a 30/04/2010,live.com,149,221,370
01/04/2010 a 30/04/2010,bestlolasite.com,90,0,90
01/04/2010 a 30/04/2010,orkut.com,2899,8007,10906
01/04/2010 a 30/04/2010,uol.com.br,62,26,88
01/04/2010 a 30/04/2010,ning.com,102,52,154
01/04/2010 a 30/04/2010,greatestsites.biz,74,1,75
01/04/2010 a 30/04/2010,orkut.com.br,3581,25875,29456
01/04/2010 a 30/04/2010,imagefap.com,140,4,144
01/04/2010 a 30/04/2010,darkpix.ws,90,90,180
,,,,
01/05/2010 a 31/05/2010,terra.com.br,224,4,228
01/05/2010 a 31/05/2010,formspring.me,71,199,270
01/05/2010 a 31/05/2010,xvideos.com,23,13,36
01/05/2010 a 31/05/2010,youtube.com,64,43,107
01/05/2010 a 31/05/2010,yahoo.com,48,1,49
01/05/2010 a 31/05/2010,orkut.com,1573,6885,8458
01/05/2010 a 31/05/2010,uol.com.br,29,20,49
01/05/2010 a 31/05/2010,msn.com,285,3,288
01/05/2010 a 31/05/2010,orkut.com.br,3242,16181,19423
,,,,
01/06/2010 a 30/06/2010,formspring.me,22,43,65
01/06/2010 a 30/06/2010,xvideos.com,37,29,66
01/06/2010 a 30/06/2010,youtube.com,45,24,69
01/06/2010 a 30/06/2010,co.tv,26,32,58
01/06/2010 a 30/06/2010,hipersocial.com,25,1,26
01/06/2010 a 30/06/2010,4shared.com,18,9,27
01/06/2010 a 30/06/2010,orkut.com,959,3984,4943
01/06/2010 a 30/06/2010,uol.com.br,32,30,62
01/06/2010 a 30/06/2010,orkut.com.br,3748,13453,17201
01/06/2010 a 30/06/2010,imagefap.com,19,0,19
,,,,
01/07/2010 a 31/07/2010,formspring.me,37,25,62
01/07/2010 a 31/07/2010,youtube.com,82,55,137
01/07/2010 a 31/07/2010,zoofiliadog.blogspot.com,37,117,154
01/07/2010 a 31/07/2010,4shared.com,39,36,75
01/07/2010 a 31/07/2010,orkut.com,899,2600,3499
01/07/2010 a 31/07/2010,uol.com.br,30,8,38
01/07/2010 a 31/07/2010,livestream.com,28,15,43
01/07/2010 a 31/07/2010,twitter.com,28,20,48
01/07/2010 a 31/07/2010,orkut.com.br,3608,14421,18029
,,,,
01/08/2010 a 31/08/2010,youtube.com,83,35,118
01/08/2010 a 31/08/2010,repon.info,52,0,52
01/08/2010 a 31/08/2010,artn-models.info,72,23310,23382
01/08/2010 a 31/08/2010,fw.nu,47,0,47
01/08/2010 a 31/08/2010,4shared.com,43,8,51
01/08/2010 a 31/08/2010,orkut.com,1298,3640,4938
01/08/2010 a 31/08/2010,uol.com.br,50,17,67
01/08/2010 a 31/08/2010,orkut.com.br,3166,16240,19406
01/08/2010 a 31/08/2010,otelix.biz,45,0,45
01/08/2010 a 31/08/2010,ce.ro,60,0,60
,,,,
01/09/2010 a 30/09/2010,archive.org,27,2,29
01/09/2010 a 30/09/2010,formspring.me,29,36,65
01/09/2010 a 30/09/2010,facebook.com,39,95,134
01/09/2010 a 30/09/2010,youtube.com,84,41,125
01/09/2010 a 30/09/2010,4shared.com,32,7,39
01/09/2010 a 30/09/2010,orkut.com,996,3725,4721
01/09/2010 a 30/09/2010,uol.com.br,35,31,66
01/09/2010 a 30/09/2010,twitter.com,25,9,34
01/09/2010 a 30/09/2010,orkut.com.br,2562,15921,18483
01/09/2010 a 30/09/2010,imgsrc.ru,30,11,41
,,,,
01/10/2010 a 31/10/2010,formspring.me,49,67,116
01/10/2010 a 31/10/2010,youtube.com,108,38,146
01/10/2010 a 31/10/2010,4shared.com,63,184,247
01/10/2010 a 31/10/2010,orkut.com,419,1206,1625
01/10/2010 a 31/10/2010,uol.com.br,38,22,60
01/10/2010 a 31/10/2010,livestream.com,49,45,94
01/10/2010 a 31/10/2010,twitter.com,56,21,77
01/10/2010 a 31/10/2010,orkut.com.br,2857,15153,18010
01/10/2010 a 31/10/2010,imgsrc.ru,67,29,96
,,,,
01/11/2010 a 30/11/2010,facebook.com,93,22,115
01/11/2010 a 30/11/2010,youtube.com,137,286,423
01/11/2010 a 30/11/2010,twitpic.com,71,785,856
01/11/2010 a 30/11/2010,orkut.com,157,533,690
01/11/2010 a 30/11/2010,bp.blogspot.com,77,166,243
01/11/2010 a 30/11/2010,uol.com.br,50,11,61
01/11/2010 a 30/11/2010,twitter.com,1914,14623,16537
01/11/2010 a 30/11/2010,orkut.com.br,2940,15868,18808
01/11/2010 a 30/11/2010,imgsrc.ru,60,12,72
,,,,
01/12/2010 a 31/12/2010,formspring.me,37,35,72
01/12/2010 a 31/12/2010,facebook.com,21,7,28
01/12/2010 a 31/12/2010,youtube.com,95,54,149
01/12/2010 a 31/12/2010,orkut.com,31,441,472
01/12/2010 a 31/12/2010,uol.com.br,25,9,34
01/12/2010 a 31/12/2010,livestream.com,27,9,36
01/12/2010 a 31/12/2010,twitter.com,245,5967,6212
01/12/2010 a 31/12/2010,orkut.com.br,1716,10614,12330
01/12/2010 a 31/12/2010,imgsrc.ru,28,3,31
,,,,
01/01/2011 a 31/01/2011,formspring.me,37,23,60
01/01/2011 a 31/01/2011,extabit.com,26,1,27
01/01/2011 a 31/01/2011,facebook.com,32,6,38
01/01/2011 a 31/01/2011,youtube.com,89,35,124
01/01/2011 a 31/01/2011,orkut.com,13628,323,13951
01/01/2011 a 31/01/2011,uol.com.br,38,75,113
01/01/2011 a 31/01/2011,livestream.com,32,8,40
01/01/2011 a 31/01/2011,twitter.com,155,755,910
01/01/2011 a 31/01/2011,orkut.com.br,2060,8961,11021
01/01/2011 a 31/01/2011,imagefap.com,46,0,46
,,,,
01/02/2011 a 28/02/2011,formspring.me,56,267,323
01/02/2011 a 28/02/2011,facebook.com,32,9,41
01/02/2011 a 28/02/2011,youtube.com,115,37,152
01/02/2011 a 28/02/2011,yahoo.com,22,15,37
01/02/2011 a 28/02/2011,uol.com.br,50,25,75
01/02/2011 a 28/02/2011,orkut.com,27,327,354
01/02/2011 a 28/02/2011,livestream.com,24,16,40
01/02/2011 a 28/02/2011,twitter.com,143,234,377
01/02/2011 a 28/02/2011,orkut.com.br,2275,11806,14081
01/02/2011 a 28/02/2011,imgsrc.ru,52,5,57
,,,,
01/03/2011 a 31/03/2011,formspring.me,33,19,52
01/03/2011 a 31/03/2011,facebook.com,53,22,75
01/03/2011 a 31/03/2011,youtube.com,101,104,205
01/03/2011 a 31/03/2011,yahoo.com,25,5,30
01/03/2011 a 31/03/2011,orkut.com,47,239,286
01/03/2011 a 31/03/2011,twitter.com,156,458,614
01/03/2011 a 31/03/2011,orkut.com.br,1414,7028,8442
01/03/2011 a 31/03/2011,imgsru.ru,21,0,21
01/03/2011 a 31/03/2011,imagearn.com,26,2,28
01/03/2011 a 31/03/2011,imgsrc.ru,262,8,270
,,,,
01/04/2011 a 30/04/2011,facebook.com,139,290,429
01/04/2011 a 30/04/2011,youtube.com,126,73,199
01/04/2011 a 30/04/2011,nm.ru,41,0,41
01/04/2011 a 30/04/2011,orkut.co.in,40,15,55
01/04/2011 a 30/04/2011,yahoo.com,53,2,55
01/04/2011 a 30/04/2011,sapo.pt,39,1,40
01/04/2011 a 30/04/2011,orkut.com,47,199,246
01/04/2011 a 30/04/2011,twitter.com,187,597,784
01/04/2011 a 30/04/2011,orkut.com.br,1814,9570,11384
01/04/2011 a 30/04/2011,imgsru.ru,234,0,234
,,,,
01/05/2011 a 31/05/2011,facebook.com,121,31,152
01/05/2011 a 31/05/2011,youtube.com,111,28,139
01/05/2011 a 31/05/2011,twitpic.com,98,695,793
01/05/2011 a 31/05/2011,4shared.com,44,30,74
01/05/2011 a 31/05/2011,orkut.com,49,286,335
01/05/2011 a 31/05/2011,twitter.com,650,5832,6482
01/05/2011 a 31/05/2011,orkut.com.br,2172,10941,13113
01/05/2011 a 31/05/2011,imgsru.ru,74,2,76
01/05/2011 a 31/05/2011,imgsrc.ru,71,23,94
,,,,
01/06/2011 a 30/06/2011,t.co,54,53,107
01/06/2011 a 30/06/2011,facebook.com,145,225,370
01/06/2011 a 30/06/2011,youtube.com,143,469,612
01/06/2011 a 30/06/2011,4shared.com,38,4,42
01/06/2011 a 30/06/2011,uol.com.br,31,109,140
01/06/2011 a 30/06/2011,twitter.com,242,662,904
01/06/2011 a 30/06/2011,orkut.com.br,1616,8532,10148
01/06/2011 a 30/06/2011,sexoinfantil.blogspot.com,32,6177,6209
01/06/2011 a 30/06/2011,linkbucks.com,89,2,91
01/06/2011 a 30/06/2011,imgsrc.ru,76,21,97
,,,,
01/07/2011 a 31/07/2011,facebook.com,85,36,121
01/07/2011 a 31/07/2011,xvideos.com,30,29,59
01/07/2011 a 31/07/2011,youtube.com,118,60,178
01/07/2011 a 31/07/2011,motherless.com,32,17,49
01/07/2011 a 31/07/2011,videarn.com,43,6,49
01/07/2011 a 31/07/2011,orkut.com,26,178,204
01/07/2011 a 31/07/2011,twitter.com,255,244,499
01/07/2011 a 31/07/2011,orkut.com.br,1805,9955,11760
01/07/2011 a 31/07/2011,imgsru.ru,100,0,100
01/07/2011 a 31/07/2011,imgsrc.ru,93,21,114
,,,,
01/08/2011 a 31/08/2011,facebook.com,113,23,136
01/08/2011 a 31/08/2011,youtube.com,151,163,314
01/08/2011 a 31/08/2011,motherless.com,41,14,55
01/08/2011 a 31/08/2011,videarn.com,28,6,34
01/08/2011 a 31/08/2011,orkut.com,63,265,328
01/08/2011 a 31/08/2011,twitter.com,120,350,470
01/08/2011 a 31/08/2011,orkut.com.br,2442,11627,14069
01/08/2011 a 31/08/2011,imgsru.ru,76,0,76
01/08/2011 a 31/08/2011,wordpress.com,48,207,255
01/08/2011 a 31/08/2011,imgsrc.ru,48,13,61
,,,,
01/09/2011 a 30/09/2011,facebook.com,213,119,332
01/09/2011 a 30/09/2011,xvideos.com,41,34,75
01/09/2011 a 30/09/2011,youtube.com,173,703,876
01/09/2011 a 30/09/2011,live.com,40,5,45
01/09/2011 a 30/09/2011,orkut.com,104,272,376
01/09/2011 a 30/09/2011,google.com.br,61,28,89
01/09/2011 a 30/09/2011,silviokoerich.com,64,4593,4657
01/09/2011 a 30/09/2011,twitter.com,122,134,256
01/09/2011 a 30/09/2011,orkut.com.br,2361,13209,15570
01/09/2011 a 30/09/2011,imgsrc.ru,131,11,142
,,,,
01/10/2011 a 31/10/2011,t.co,69,98,167
01/10/2011 a 31/10/2011,facebook.com,689,921,1610
01/10/2011 a 31/10/2011,youtube.com,159,130,289
01/10/2011 a 31/10/2011,simapedofilia.blogspot.com,46,8451,8497
01/10/2011 a 31/10/2011,orkut.com,62,227,289
01/10/2011 a 31/10/2011,silviokoerich.com,83,2652,2735
01/10/2011 a 31/10/2011,twitter.com,326,1186,1512
01/10/2011 a 31/10/2011,orkut.com.br,2216,8716,10932
01/10/2011 a 31/10/2011,amantezoocba.blogspot.com,45,119,164
01/10/2011 a 31/10/2011,imgsrc.ru,161,350,511
,,,,
01/11/2011 a 30/11/2011,facebook.com,910,2324,3234
01/11/2011 a 30/11/2011,xvideos.com,35,27,62
01/11/2011 a 30/11/2011,youtube.com,190,494,684
01/11/2011 a 30/11/2011,google.com,29,34,63
01/11/2011 a 30/11/2011,orkut.com,65,402,467
01/11/2011 a 30/11/2011,silviokoerich.com,100,2932,3032
01/11/2011 a 30/11/2011,twitter.com,196,530,726
01/11/2011 a 30/11/2011,orkut.com.br,2063,7861,9924
01/11/2011 a 30/11/2011,silviokoerich.org,259,13276,13535
01/11/2011 a 30/11/2011,imgsrc.ru,177,21,198
,,,,
01/12/2011 a 31/12/2011,facebook.com,1810,1174,2984
01/12/2011 a 31/12/2011,xvideos.com,50,20,70
01/12/2011 a 31/12/2011,youtube.com,458,1693,2151
01/12/2011 a 31/12/2011,tumblr.com,71,320,391
01/12/2011 a 31/12/2011,silviokoerich.com,171,23459,23630
01/12/2011 a 31/12/2011,twitter.com,1023,44907,45930
01/12/2011 a 31/12/2011,orkut.com.br,1470,3792,5262
01/12/2011 a 31/12/2011,imagebam.com,82,4,86
01/12/2011 a 31/12/2011,silviokoerich.org,300,15923,16223
01/12/2011 a 31/12/2011,imgsrc.ru,117,21,138
,,,,
01/01/2012 a 31/01/2012,terra.com.br,26,15,41
01/01/2012 a 31/01/2012,facebook.com,419,206,625
01/01/2012 a 31/01/2012,xvideos.com,30,25,55
01/01/2012 a 31/01/2012,youtube.com,165,114,279
01/01/2012 a 31/01/2012,motherless.com,34,7,41
01/01/2012 a 31/01/2012,tumblr.com,69,283,352
01/01/2012 a 31/01/2012,twitter.com,177,1274,1451
01/01/2012 a 31/01/2012,orkut.com.br,1205,5032,6237
01/01/2012 a 31/01/2012,silviokoerich.org,58,836,894
01/01/2012 a 31/01/2012,imgsrc.ru,56,16,72
,,,,
01/02/2012 a 29/02/2012,facebook.com,849,7374,8223
01/02/2012 a 29/02/2012,youtube.com,126,66,192
01/02/2012 a 29/02/2012,fbcdn.net,21,78,99
01/02/2012 a 29/02/2012,tumblr.com,30,8,38
01/02/2012 a 29/02/2012,orkut.com,21,24,45
01/02/2012 a 29/02/2012,twitter.com,134,362,496
01/02/2012 a 29/02/2012,orkut.com.br,749,4551,5300
01/02/2012 a 29/02/2012,silviokoerich.org,49,2279,2328
01/02/2012 a 29/02/2012,wordpress.com,30,21,51
01/02/2012 a 29/02/2012,imgsrc.ru,267,11,278
,,,,
01/03/2012 a 31/03/2012,terra.com.br,32,13,45
01/03/2012 a 31/03/2012,habbo.com.br,31,35,66
01/03/2012 a 31/03/2012,facebook.com,649,538,1187
01/03/2012 a 31/03/2012,youtube.com,231,135,366
01/03/2012 a 31/03/2012,yahoo.com,29,5,34
01/03/2012 a 31/03/2012,twitter.com,167,1487,1654
01/03/2012 a 31/03/2012,orkut.com.br,1096,5357,6453
01/03/2012 a 31/03/2012,silviokoerich.org,33,553,586
01/03/2012 a 31/03/2012,wordpress.com,25,54,79
01/03/2012 a 31/03/2012,imgsrc.ru,138,11,149
,,,,
01/04/2012 a 30/04/2012,terra.com.br,24,23,47
01/04/2012 a 30/04/2012,facebook.com,564,786,1350
01/04/2012 a 30/04/2012,youtube.com,186,57,243
01/04/2012 a 30/04/2012,tumblr.com,46,40,86
01/04/2012 a 30/04/2012,yahoo.com,19,22,41
01/04/2012 a 30/04/2012,twitter.com,151,700,851
01/04/2012 a 30/04/2012,orkut.com.br,1115,3599,4714
01/04/2012 a 30/04/2012,silviokoerich.org,47,1671,1718
01/04/2012 a 30/04/2012,wordpress.com,32,39,71
01/04/2012 a 30/04/2012,imgsrc.ru,36,8,44
,,,,
01/05/2012 a 31/05/2012,facebook.com,687,1378,2065
01/05/2012 a 31/05/2012,xvideos.com,22,11,33
01/05/2012 a 31/05/2012,youtube.com,156,102,258
01/05/2012 a 31/05/2012,tumblr.com,30,243,273
01/05/2012 a 31/05/2012,yahoo.com,21,41,62
01/05/2012 a 31/05/2012,co.cc,25,11,36
01/05/2012 a 31/05/2012,orkut.com,58,69,127
01/05/2012 a 31/05/2012,twitter.com,205,596,801
01/05/2012 a 31/05/2012,orkut.com.br,1401,3533,4934
01/05/2012 a 31/05/2012,imgsrc.ru,91,189,280
,,,,
01/06/2012 a 30/06/2012,facebook.com,543,616,1159
01/06/2012 a 30/06/2012,youtube.com,86,77,163
01/06/2012 a 30/06/2012,jkpos24pl2r3urlw.onion,31,2,33
01/06/2012 a 30/06/2012,defesa-hetero.blogspot.com.br,28,19,47
01/06/2012 a 30/06/2012,yahoo.com,27,14,41
01/06/2012 a 30/06/2012,aimoo.com,32,11,43
01/06/2012 a 30/06/2012,google.com.br,24,2,26
01/06/2012 a 30/06/2012,twitter.com,126,322,448
01/06/2012 a 30/06/2012,orkut.com.br,1462,3155,4617
01/06/2012 a 30/06/2012,imgsrc.ru,47,43,90
,,,,
01/07/2012 a 31/07/2012,facebook.com,1314,5536,6850
01/07/2012 a 31/07/2012,youtube.com,130,46,176
01/07/2012 a 31/07/2012,tumblr.com,226,646,872
01/07/2012 a 31/07/2012,ask.fm,62,107,169
01/07/2012 a 31/07/2012,zoofboy.blogspot.com.br,52,93,145
01/07/2012 a 31/07/2012,orkut.com,52,25,77
01/07/2012 a 31/07/2012,twitter.com,313,974,1287
01/07/2012 a 31/07/2012,xoxotascaninas.blogspot.com.br,100,467,567
01/07/2012 a 31/07/2012,orkut.com.br,1605,3271,4876
01/07/2012 a 31/07/2012,imgsrc.ru,36,29,65
,,,,
01/08/2012 a 31/08/2012,facebook.com,1238,2876,4114
01/08/2012 a 31/08/2012,youtube.com,140,282,422
01/08/2012 a 31/08/2012,tumblr.com,31,68,99
01/08/2012 a 31/08/2012,ask.fm,199,541,740
01/08/2012 a 31/08/2012,orkut.com,53,23,76
01/08/2012 a 31/08/2012,testosterona.blog.br,23,793,816
01/08/2012 a 31/08/2012,twitter.com,130,257,387
01/08/2012 a 31/08/2012,akamaihd.net,39,236,275
01/08/2012 a 31/08/2012,orkut.com.br,2318,4138,6456
01/08/2012 a 31/08/2012,imgsrc.ru,35,42,77
,,,,
01/09/2012 a 30/09/2012,facebook.com,948,1258,2206
01/09/2012 a 30/09/2012,xvideos.com,40,13,53
01/09/2012 a 30/09/2012,youtube.com,113,95,208
01/09/2012 a 30/09/2012,motherless.com,26,5,31
01/09/2012 a 30/09/2012,tumblr.com,31,22,53
01/09/2012 a 30/09/2012,ask.fm,229,566,795
01/09/2012 a 30/09/2012,orkut.com,26,28,54
01/09/2012 a 30/09/2012,uol.com.br,20,10,30
01/09/2012 a 30/09/2012,twitter.com,128,955,1083
01/09/2012 a 30/09/2012,orkut.com.br,1889,2687,4576
,,,,
01/10/2012 a 31/10/2012,kodiefiles.nl,126,2,128
01/10/2012 a 31/10/2012,facebook.com,1636,4494,6130
01/10/2012 a 31/10/2012,xvideos.com,68,38,106
01/10/2012 a 31/10/2012,youtube.com,157,90,247
01/10/2012 a 31/10/2012,minus.com,30,13,43
01/10/2012 a 31/10/2012,uni.me,29,5,34
01/10/2012 a 31/10/2012,tumblr.com,41,34,75
01/10/2012 a 31/10/2012,ask.fm,338,902,1240
01/10/2012 a 31/10/2012,twitter.com,397,1169,1566
01/10/2012 a 31/10/2012,orkut.com.br,2183,2982,5165
,,,,
01/11/2012 a 30/11/2012,facebook.com,1424,3451,4875
01/11/2012 a 30/11/2012,youtube.com,201,221,422
01/11/2012 a 30/11/2012,minus.com,82,74,156
01/11/2012 a 30/11/2012,tumblr.com,64,85,149
01/11/2012 a 30/11/2012,yahoo.com,41,5,46
01/11/2012 a 30/11/2012,ask.fm,387,1225,1612
01/11/2012 a 30/11/2012,twitter.com,144,115,259
01/11/2012 a 30/11/2012,akamaihd.net,33,9,42
01/11/2012 a 30/11/2012,orkut.com.br,1776,3529,5305
01/11/2012 a 30/11/2012,imgsrc.ru,31,12,43
,,,,
01/12/2012 a 31/12/2012,facebook.com,1220,2874,4094
01/12/2012 a 31/12/2012,xvideos.com,48,40,88
01/12/2012 a 31/12/2012,youtube.com,136,107,243
01/12/2012 a 31/12/2012,tumblr.com,88,75,163
01/12/2012 a 31/12/2012,ask.fm,229,395,624
01/12/2012 a 31/12/2012,google.com,18,8,26
01/12/2012 a 31/12/2012,uol.com.br,27,40,67
01/12/2012 a 31/12/2012,twitter.com,169,363,532
01/12/2012 a 31/12/2012,orkut.com.br,1043,1552,2595
01/12/2012 a 31/12/2012,imgsrc.ru,16,9,25
,,,,
01/01/2013 a 31/01/2013,habbo.com.br,233,151,384
01/01/2013 a 31/01/2013,facebook.com,1794,9218,11012
01/01/2013 a 31/01/2013,xvideos.com,38,25,63
01/01/2013 a 31/01/2013,youtube.com,143,81,224
01/01/2013 a 31/01/2013,tumblr.com,62,137,199
01/01/2013 a 31/01/2013,yahoo.com,43,3,46
01/01/2013 a 31/01/2013,ask.fm,250,373,623
01/01/2013 a 31/01/2013,pega-nelas.blogspot.com.br,182,350,532
01/01/2013 a 31/01/2013,twitter.com,254,843,1097
01/01/2013 a 31/01/2013,orkut.com.br,1574,4251,5825
,,,,
01/02/2013 a 28/02/2013,facebook.com,1271,2512,3783
01/02/2013 a 28/02/2013,xvideos.com,45,32,77
01/02/2013 a 28/02/2013,youtube.com,150,57,207
01/02/2013 a 28/02/2013,tumblr.com,81,112,193
01/02/2013 a 28/02/2013,sexibl.com,24,3,27
01/02/2013 a 28/02/2013,yahoo.com,29,5,34
01/02/2013 a 28/02/2013,ask.fm,172,482,654
01/02/2013 a 28/02/2013,twitter.com,125,314,439
01/02/2013 a 28/02/2013,orkut.com.br,1208,5221,6429
01/02/2013 a 28/02/2013,bing.com,23,7,30
,,,,
01/03/2013 a 31/03/2013,facebook.com,2027,6552,8579
01/03/2013 a 31/03/2013,xvideos.com,23,65,88
01/03/2013 a 31/03/2013,youtube.com,186,1035,1221
01/03/2013 a 31/03/2013,fbcdn.net,23,10,33
01/03/2013 a 31/03/2013,tumblr.com,36,38,74
01/03/2013 a 31/03/2013,globo.com,29,22,51
01/03/2013 a 31/03/2013,ask.fm,121,243,364
01/03/2013 a 31/03/2013,putariaemoff.net,33,1,34
01/03/2013 a 31/03/2013,twitter.com,100,228,328
01/03/2013 a 31/03/2013,orkut.com.br,1295,10050,11345
,,,,
01/04/2013 a 30/04/2013,fc2.com,34,12,46
01/04/2013 a 30/04/2013,facebook.com,2315,4453,6768
01/04/2013 a 30/04/2013,xvideos.com,76,20,96
01/04/2013 a 30/04/2013,youtube.com,218,307,525
01/04/2013 a 30/04/2013,tumblr.com,35,45,80
01/04/2013 a 30/04/2013,globo.com,40,27,67
01/04/2013 a 30/04/2013,ask.fm,105,105,210
01/04/2013 a 30/04/2013,twitter.com,84,165,249
01/04/2013 a 30/04/2013,orkut.com.br,817,11298,12115
01/04/2013 a 30/04/2013,vk.com,101,4,105
,,,,
01/05/2013 a 31/05/2013,facebook.com,1470,2706,4176
01/05/2013 a 31/05/2013,xvideos.com,81,27,108
01/05/2013 a 31/05/2013,youtube.com,186,123,309
01/05/2013 a 31/05/2013,tumblr.com,40,42,82
01/05/2013 a 31/05/2013,sexibl.com,217,34,251
01/05/2013 a 31/05/2013,globo.com,43,23,66
01/05/2013 a 31/05/2013,ask.fm,104,144,248
01/05/2013 a 31/05/2013,twitter.com,309,159,468
01/05/2013 a 31/05/2013,orkut.com.br,1023,8851,9874
01/05/2013 a 31/05/2013,vk.com,61,6,67
,,,,
01/06/2013 a 30/06/2013,facebook.com,1577,5462,7039
01/06/2013 a 30/06/2013,xvideos.com,57,20,77
01/06/2013 a 30/06/2013,youtube.com,134,155,289
01/06/2013 a 30/06/2013,tumblr.com,62,26,88
01/06/2013 a 30/06/2013,sexibl.com,276,81,357
01/06/2013 a 30/06/2013,globo.com,30,18,48
01/06/2013 a 30/06/2013,ask.fm,55,86,141
01/06/2013 a 30/06/2013,twitter.com,208,117,325
01/06/2013 a 30/06/2013,orkut.com.br,856,8774,9630
01/06/2013 a 30/06/2013,vk.com,54,7,61
,,,,
01/07/2013 a 31/07/2013,facebook.com,1406,5914,7320
01/07/2013 a 31/07/2013,xvideos.com,58,24,82
01/07/2013 a 31/07/2013,youtube.com,112,50,162
01/07/2013 a 31/07/2013,sexibl.com,151,47,198
01/07/2013 a 31/07/2013,yahoo.com,35,3,38
01/07/2013 a 31/07/2013,ask.fm,57,66,123
01/07/2013 a 31/07/2013,google.com.br,35,51,86
01/07/2013 a 31/07/2013,twitter.com,73,69,142
01/07/2013 a 31/07/2013,orkut.com.br,553,5464,6017
01/07/2013 a 31/07/2013,vk.com,75,14,89
,,,,
01/08/2013 a 31/08/2013,facebook.com,1198,2034,3232
01/08/2013 a 31/08/2013,xvideos.com,108,29,137
01/08/2013 a 31/08/2013,youtube.com,120,129,249
01/08/2013 a 31/08/2013,sexibl.com,67,40,107
01/08/2013 a 31/08/2013,ask.fm,49,51,100
01/08/2013 a 31/08/2013,twitter.com,86,92,178
01/08/2013 a 31/08/2013,akamaihd.net,39,27,66
01/08/2013 a 31/08/2013,orkut.com.br,633,2133,2766
01/08/2013 a 31/08/2013,vk.com,37,9,46
01/08/2013 a 31/08/2013,bufalo.info,81,92,173
,,,,
01/09/2013 a 30/09/2013,homemdebem.org,122,6365,6487
01/09/2013 a 30/09/2013,terra.com.br,34,51,85
01/09/2013 a 30/09/2013,mundorealista.com,29,45,74
01/09/2013 a 30/09/2013,facebook.com,929,1799,2728
01/09/2013 a 30/09/2013,xvideos.com,57,10,67
01/09/2013 a 30/09/2013,youtube.com,91,46,137
01/09/2013 a 30/09/2013,sexibl.com,142,76,218
01/09/2013 a 30/09/2013,twitter.com,62,91,153
01/09/2013 a 30/09/2013,orkut.com.br,660,2970,3630
01/09/2013 a 30/09/2013,bufalo.info,33,1092,1125
,,,,
01/10/2013 a 31/10/2013,homemdebem.org,280,20736,21016
01/10/2013 a 31/10/2013,terra.com.br,70,154,224
01/10/2013 a 31/10/2013,mundorealista.com,74,847,921
01/10/2013 a 31/10/2013,facebook.com,993,1684,2677
01/10/2013 a 31/10/2013,xvideos.com,101,35,136
01/10/2013 a 31/10/2013,youtube.com,110,27,137
01/10/2013 a 31/10/2013,sexibl.com,65,29,94
01/10/2013 a 31/10/2013,twitter.com,86,115,201
01/10/2013 a 31/10/2013,dropbox.com,44,15,59
01/10/2013 a 31/10/2013,orkut.com.br,596,2107,2703
,,,,
01/11/2013 a 30/11/2013,homemdebem.org,44,8110,8154
01/11/2013 a 30/11/2013,terra.com.br,43,38,81
01/11/2013 a 30/11/2013,facebook.com,1118,1569,2687
01/11/2013 a 30/11/2013,xvideos.com,172,76,248
01/11/2013 a 30/11/2013,youtube.com,178,60,238
01/11/2013 a 30/11/2013,ask.fm,51,185,236
01/11/2013 a 30/11/2013,orkut.com,37,12,49
01/11/2013 a 30/11/2013,twitter.com,112,320,432
01/11/2013 a 30/11/2013,orkut.com.br,741,1955,2696
01/11/2013 a 30/11/2013,imgsrc.ru,41,6,47
,,,,
01/12/2013 a 31/12/2013,terra.com.br,94,270,364
01/12/2013 a 31/12/2013,facebook.com,1102,1086,2188
01/12/2013 a 31/12/2013,xvideos.com,80,48,128
01/12/2013 a 31/12/2013,youtube.com,243,7857,8100
01/12/2013 a 31/12/2013,tumblr.com,31,42,73
01/12/2013 a 31/12/2013,ask.fm,30,30,60
01/12/2013 a 31/12/2013,twitter.com,99,521,620
01/12/2013 a 31/12/2013,dropbox.com,32,61,93
01/12/2013 a 31/12/2013,orkut.com.br,419,1694,2113
01/12/2013 a 31/12/2013,imgsrc.ru,28,8,36
,,,,
01/01/2014 a 31/01/2014,homemdebem.org,82,19280,19362
01/01/2014 a 31/01/2014,terra.com.br,51,98,149
01/01/2014 a 31/01/2014,facebook.com,1299,2033,3332
01/01/2014 a 31/01/2014,xvideos.com,111,47,158
01/01/2014 a 31/01/2014,youtube.com,176,1084,1260
01/01/2014 a 31/01/2014,motherless.com,46,4,50
01/01/2014 a 31/01/2014,tumblr.com,52,81,133
01/01/2014 a 31/01/2014,ask.fm,35,82,117
01/01/2014 a 31/01/2014,twitter.com,61,63,124
